,0
log_lik_all_subs.1.1,-95.45850250000001
log_lik_all_subs.2.1,-99.096494775
log_lik_all_subs.3.1,-102.66791774999999
log_lik_all_subs.4.1,-94.194569025
log_lik_all_subs.5.1,-107.5569445
log_lik_all_subs.6.1,-68.49872902499999
log_lik_all_subs.7.1,-100.10348054999999
log_lik_all_subs.8.1,-120.68970225
log_lik_all_subs.9.1,-89.026071425
log_lik_all_subs.10.1,-91.81909655
log_lik_all_subs.11.1,-108.00287675
log_lik_all_subs.12.1,-118.98219399999999
log_lik_all_subs.13.1,-98.922142525
log_lik_all_subs.14.1,-86.626642975
log_lik_all_subs.15.1,-113.74598474999999
log_lik_all_subs.16.1,-94.58147635
log_lik_all_subs.17.1,-106.01064975
log_lik_all_subs.18.1,-94.01337205
log_lik_all_subs.19.1,-102.54316899999999
log_lik_all_subs.20.1,-91.832885175
log_lik_all_subs.21.1,-81.1102243
log_lik_all_subs.22.1,-83.30178017499999
log_lik_all_subs.23.1,-121.13311600000002
log_lik_all_subs.24.1,-105.062427
log_lik_all_subs.25.1,-112.17949374999999
log_lik_all_subs.26.1,-108.26962474999999
log_lik_all_subs.27.1,-71.768762375
log_lik_all_subs.28.1,-78.78128447499999
log_lik_all_subs.29.1,-114.02291425
log_lik_all_subs.30.1,-91.72287655
log_lik_all_subs.31.1,-100.256349825
log_lik_all_subs.32.1,-102.82192350000001
log_lik_all_subs.33.1,-98.6717893
log_lik_all_subs.34.1,-102.548923
log_lik_all_subs.35.1,-100.414762575
log_lik_all_subs.36.1,-105.1517795
log_lik_all_subs.37.1,-124.5938085
log_lik_all_subs.38.1,-86.998206225
log_lik_all_subs.39.1,-103.0817695
log_lik_all_subs.40.1,-131.83283974999998
log_lik_all_subs.41.1,-101.5154648
log_lik_all_subs.42.1,-71.18969742499999
log_lik_all_subs.43.1,-100.45087432500002
log_lik_all_subs.44.1,-109.053128
log_lik_all_subs.45.1,-94.50473912499999
log_lik_all_subs.46.1,-102.46077647499999
log_lik_all_subs.47.1,-83.56097252500001
log_lik_all_subs.48.1,-89.16416824999999
log_lik_all_subs.49.1,-97.0973777
log_lik_all_subs.50.1,-107.09612899999999
log_lik_all_subs.51.1,-74.62551755
log_lik_all_subs.52.1,-86.86146162499999
log_lik_all_subs.53.1,-98.80614052499999
log_lik_all_subs.54.1,-116.05641899999999
log_lik_all_subs.55.1,-113.11145675000002
log_lik_all_subs.56.1,-99.74195060000001
log_lik_all_subs.57.1,-93.93131844999999
log_lik_all_subs.58.1,-94.19421005
log_lik_all_subs.59.1,-74.9449744
log_lik_all_subs.60.1,-110.42585000000001
log_lik_all_subs.61.1,-102.443550475
log_lik_all_subs.62.1,-75.892359725
log_lik_all_subs.63.1,-84.3568636
log_lik_all_subs.64.1,-100.6807401
log_lik_all_subs.65.1,-107.40096825
log_lik_all_subs.66.1,-92.38444020000001
log_lik_all_subs.67.1,-84.030127725
log_lik_all_subs.68.1,-92.1440173
log_lik_all_subs.69.1,-111.660597
log_lik_all_subs.70.1,-96.9859473
log_lik_all_subs.71.1,-89.3941403
log_lik_all_subs.72.1,-106.132454
log_lik_all_subs.73.1,-89.66160034999999
log_lik_all_subs.74.1,-112.15942474999999
log_lik_all_subs.75.1,-112.27193475
log_lik_all_subs.76.1,-111.55475
log_lik_all_subs.77.1,-87.41537015
log_lik_all_subs.78.1,-85.34980572500001
log_lik_all_subs.79.1,-94.538637625
log_lik_all_subs.80.1,-88.08164230000001
log_lik_all_subs.81.1,-82.52692485000001
log_lik_all_subs.82.1,-103.844841425
log_lik_all_subs.83.1,-90.01441047499999
log_lik_all_subs.84.1,0.0
log_lik_all_subs.85.1,-114.23273675
log_lik_all_subs.86.1,-125.34076024999999
log_lik_all_subs.87.1,-89.0562616
log_lik_all_subs.88.1,-99.43537067500002
log_lik_all_subs.89.1,-108.5026865
log_lik_all_subs.90.1,0.0
log_lik_all_subs.1.2,-100.06313755000001
log_lik_all_subs.2.2,-86.67300395000001
log_lik_all_subs.3.2,-92.19480505
log_lik_all_subs.4.2,-88.547858525
log_lik_all_subs.5.2,-105.30030625
log_lik_all_subs.6.2,-77.27408460000001
log_lik_all_subs.7.2,-96.72844704999999
log_lik_all_subs.8.2,-113.78604599999998
log_lik_all_subs.9.2,-100.98720792499999
log_lik_all_subs.10.2,-62.74713245
log_lik_all_subs.11.2,0.0
log_lik_all_subs.12.2,-130.56459825
log_lik_all_subs.13.2,-59.88016224999999
log_lik_all_subs.14.2,-87.70111304999999
log_lik_all_subs.15.2,-113.93024025
log_lik_all_subs.16.2,-108.31832875
log_lik_all_subs.17.2,-94.06708695
log_lik_all_subs.18.2,-124.02921475
log_lik_all_subs.19.2,-88.269642125
log_lik_all_subs.20.2,-82.38319127499999
log_lik_all_subs.21.2,-94.0443497
log_lik_all_subs.22.2,-97.086993575
log_lik_all_subs.23.2,-117.7521445
log_lik_all_subs.24.2,-103.57432625
log_lik_all_subs.25.2,0.0
log_lik_all_subs.26.2,-113.13610225
log_lik_all_subs.27.2,-85.1671025
log_lik_all_subs.28.2,0.0
log_lik_all_subs.29.2,-120.20000524999999
log_lik_all_subs.30.2,-96.43683680000001
log_lik_all_subs.31.2,-101.7526395
log_lik_all_subs.32.2,-116.07067699999999
log_lik_all_subs.33.2,-80.91237272500001
log_lik_all_subs.34.2,-101.51352132500001
log_lik_all_subs.35.2,-109.25000025
log_lik_all_subs.36.2,-102.13551815000001
log_lik_all_subs.37.2,-127.25146074999999
log_lik_all_subs.38.2,-61.428714275000004
log_lik_all_subs.39.2,-114.564637
log_lik_all_subs.40.2,-122.35264600000001
log_lik_all_subs.41.2,-108.21472450000002
log_lik_all_subs.42.2,-55.886603525
log_lik_all_subs.43.2,-59.778989275
log_lik_all_subs.44.2,-123.4735365
log_lik_all_subs.45.2,-73.003025825
log_lik_all_subs.46.2,-95.825723875
log_lik_all_subs.47.2,-89.357009675
log_lik_all_subs.48.2,-73.214283275
log_lik_all_subs.49.2,-109.36473375
log_lik_all_subs.50.2,-96.503511925
log_lik_all_subs.51.2,-79.291503025
log_lik_all_subs.52.2,-110.50314300000001
log_lik_all_subs.53.2,-87.0851716
log_lik_all_subs.54.2,-125.87690625
log_lik_all_subs.55.2,-94.02525247499999
log_lik_all_subs.56.2,-102.58963525
log_lik_all_subs.57.2,-89.78520540000001
log_lik_all_subs.58.2,0.0
log_lik_all_subs.59.2,-79.02044144999999
log_lik_all_subs.60.2,-112.07469725
log_lik_all_subs.61.2,-85.83087917499999
log_lik_all_subs.62.2,-77.224487375
log_lik_all_subs.63.2,-74.36524924999999
log_lik_all_subs.64.2,-100.315172575
log_lik_all_subs.65.2,-111.82535899999999
log_lik_all_subs.66.2,-84.26045102500001
log_lik_all_subs.67.2,-94.105824075
log_lik_all_subs.68.2,-64.376740625
log_lik_all_subs.69.2,-111.84951849999999
log_lik_all_subs.70.2,-89.60700507499999
log_lik_all_subs.71.2,-97.65002055000001
log_lik_all_subs.72.2,-100.098095525
log_lik_all_subs.73.2,-109.89946575
log_lik_all_subs.74.2,-117.99189874999999
log_lik_all_subs.75.2,-113.62974775
log_lik_all_subs.76.2,-113.47689275
log_lik_all_subs.77.2,-112.69690525
log_lik_all_subs.78.2,-98.254100525
log_lik_all_subs.79.2,-94.37308505
log_lik_all_subs.80.2,-70.4736653
log_lik_all_subs.81.2,-96.05820725000001
log_lik_all_subs.82.2,-91.90763362499999
log_lik_all_subs.83.2,-85.9460398
log_lik_all_subs.84.2,-86.767876625
log_lik_all_subs.85.2,-103.02860949999999
log_lik_all_subs.86.2,-133.2020685
log_lik_all_subs.87.2,-111.805482
log_lik_all_subs.88.2,-95.99412107500001
log_lik_all_subs.89.2,-91.2459745
log_lik_all_subs.90.2,-86.756246825
log_lik_all_subs.1.3,-91.06668739999999
log_lik_all_subs.2.3,-92.43107527500001
log_lik_all_subs.3.3,-98.363315875
log_lik_all_subs.4.3,-81.89425020000002
log_lik_all_subs.5.3,-83.914261375
log_lik_all_subs.6.3,-79.46691255
log_lik_all_subs.7.3,-99.722022675
log_lik_all_subs.8.3,-112.0747145
log_lik_all_subs.9.3,-98.74524989999999
log_lik_all_subs.10.3,-70.33002809999999
log_lik_all_subs.11.3,-112.09403025
log_lik_all_subs.12.3,-133.89171474999998
log_lik_all_subs.13.3,-86.34403764999999
log_lik_all_subs.14.3,-90.92397197499999
log_lik_all_subs.15.3,-116.89629750000002
log_lik_all_subs.16.3,-111.66329524999999
log_lik_all_subs.17.3,-90.45771640000001
log_lik_all_subs.18.3,-99.57362745
log_lik_all_subs.19.3,-104.38537325
log_lik_all_subs.20.3,-63.023954475
log_lik_all_subs.21.3,-86.74709505
log_lik_all_subs.22.3,-94.4725397
log_lik_all_subs.23.3,-127.4426775
log_lik_all_subs.24.3,-117.4150505
log_lik_all_subs.25.3,-89.70803
log_lik_all_subs.26.3,-109.40032649999999
log_lik_all_subs.27.3,-75.48705475
log_lik_all_subs.28.3,-85.1851943
log_lik_all_subs.29.3,-105.78343799999999
log_lik_all_subs.30.3,-78.17288792499998
log_lik_all_subs.31.3,-91.6266802
log_lik_all_subs.32.3,-105.29712075
log_lik_all_subs.33.3,-95.84389325
log_lik_all_subs.34.3,-97.50953215
log_lik_all_subs.35.3,-86.392454425
log_lik_all_subs.36.3,-100.897289475
log_lik_all_subs.37.3,-121.81399674999999
log_lik_all_subs.38.3,-85.53283484999999
log_lik_all_subs.39.3,-111.86841375
log_lik_all_subs.40.3,-117.4578545
log_lik_all_subs.41.3,-118.2193155
log_lik_all_subs.42.3,-60.213304449999995
log_lik_all_subs.43.3,0.0
log_lik_all_subs.44.3,-114.11065100000002
log_lik_all_subs.45.3,-105.5131465
log_lik_all_subs.46.3,-90.35124565
log_lik_all_subs.47.3,-80.035986875
log_lik_all_subs.48.3,-83.08148795
log_lik_all_subs.49.3,-90.727981725
