,0
log_lik_all_subs.1.1,-127.160332
log_lik_all_subs.2.1,-107.7071915
log_lik_all_subs.3.1,-70.725525725
log_lik_all_subs.4.1,-119.1120425
log_lik_all_subs.5.1,-82.70264495
log_lik_all_subs.6.1,-142.417114
log_lik_all_subs.7.1,-79.1554744
log_lik_all_subs.8.1,-45.71108585
log_lik_all_subs.9.1,-132.60176225
log_lik_all_subs.10.1,-95.823895075
log_lik_all_subs.11.1,-125.540514
log_lik_all_subs.12.1,-33.3266945
log_lik_all_subs.13.1,-129.34431325
log_lik_all_subs.14.1,-140.56865249999998
log_lik_all_subs.15.1,-103.87527575
log_lik_all_subs.16.1,-59.81159675000001
log_lik_all_subs.17.1,-125.40449875
log_lik_all_subs.18.1,-131.18939025
log_lik_all_subs.19.1,-125.39479225
log_lik_all_subs.20.1,-92.71222995000001
log_lik_all_subs.21.1,-86.86292544999999
log_lik_all_subs.22.1,-149.76343549999999
log_lik_all_subs.23.1,-84.41569899999999
log_lik_all_subs.24.1,-108.09410749999999
log_lik_all_subs.25.1,-82.64446410000001
log_lik_all_subs.26.1,-112.11287275000001
log_lik_all_subs.27.1,-81.172202575
log_lik_all_subs.28.1,-35.432712825
log_lik_all_subs.29.1,-126.40043575
log_lik_all_subs.30.1,-96.780469375
log_lik_all_subs.31.1,-87.36216904999999
log_lik_all_subs.32.1,-103.20126172500001
log_lik_all_subs.33.1,-106.9894485
log_lik_all_subs.34.1,-116.14006125
log_lik_all_subs.35.1,-94.655497125
log_lik_all_subs.36.1,-119.42662
log_lik_all_subs.37.1,-103.48041525
log_lik_all_subs.38.1,-103.6535178
log_lik_all_subs.39.1,-132.13476125
log_lik_all_subs.40.1,-116.69546425
log_lik_all_subs.41.1,0.0
log_lik_all_subs.42.1,-109.09348825
log_lik_all_subs.43.1,-66.491258375
log_lik_all_subs.44.1,-82.045273025
log_lik_all_subs.45.1,-72.7169053
log_lik_all_subs.46.1,-114.618037
log_lik_all_subs.47.1,-83.209646
log_lik_all_subs.48.1,-122.23991425
log_lik_all_subs.49.1,-107.57611275000001
log_lik_all_subs.50.1,-95.766194025
log_lik_all_subs.51.1,-51.6336873
log_lik_all_subs.52.1,-118.90176025
log_lik_all_subs.53.1,-88.062209125
log_lik_all_subs.54.1,-150.92161099999998
log_lik_all_subs.55.1,-118.0376525
log_lik_all_subs.56.1,-95.00123697500001
log_lik_all_subs.57.1,-149.2196515
log_lik_all_subs.58.1,-93.952733125
log_lik_all_subs.59.1,-95.11698075
