,0
log_lik_all_subs.1.1,-6.8330088225
log_lik_all_subs.2.1,-1.06950424781425
log_lik_all_subs.3.1,0.0
log_lik_all_subs.4.1,-9.420847174999999
log_lik_all_subs.5.1,-2.3242803375
log_lik_all_subs.6.1,-2.4210328824999996
log_lik_all_subs.7.1,-2.4836036825
log_lik_all_subs.8.1,-8.5894820425
log_lik_all_subs.9.1,-6.060072225
log_lik_all_subs.10.1,-7.30041193
log_lik_all_subs.11.1,-13.849591225
log_lik_all_subs.12.1,-14.179684825
log_lik_all_subs.13.1,-2.9764077875000003
log_lik_all_subs.14.1,-5.9714150175
log_lik_all_subs.15.1,-2.6407147324999998
log_lik_all_subs.16.1,-6.3542625699999995
log_lik_all_subs.17.1,-7.369214357499999
log_lik_all_subs.18.1,-11.726788825
log_lik_all_subs.19.1,-1.1953008365402502
log_lik_all_subs.20.1,-5.5727130725
log_lik_all_subs.21.1,-5.5453073875
log_lik_all_subs.22.1,-4.9322943125
log_lik_all_subs.23.1,-7.215242355
log_lik_all_subs.24.1,-10.897173732499999
log_lik_all_subs.25.1,-2.1613151825000005
log_lik_all_subs.26.1,-14.291646100000001
log_lik_all_subs.27.1,-2.2835165450000003
log_lik_all_subs.28.1,-3.3664138625
log_lik_all_subs.29.1,-16.6029555
log_lik_all_subs.30.1,-15.1409248
log_lik_all_subs.31.1,-1.79540266193
log_lik_all_subs.32.1,-7.3368666750000004
log_lik_all_subs.33.1,-5.315702695
log_lik_all_subs.34.1,-14.44469555
log_lik_all_subs.35.1,-7.9733794175
log_lik_all_subs.36.1,-6.042311
log_lik_all_subs.37.1,-2.3500225455500003
log_lik_all_subs.38.1,-1.0950139835925001
log_lik_all_subs.39.1,-12.775740725
log_lik_all_subs.40.1,-2.5539152075000002
log_lik_all_subs.41.1,-12.013410625
log_lik_all_subs.42.1,-4.5027434175
log_lik_all_subs.43.1,-1.9758251999999998
log_lik_all_subs.44.1,-6.4552566549999995
log_lik_all_subs.45.1,-3.3398202649999997
log_lik_all_subs.46.1,-3.037761515
log_lik_all_subs.47.1,-2.2421281950000003
log_lik_all_subs.48.1,-4.32377511
log_lik_all_subs.49.1,-8.085097229999999
log_lik_all_subs.50.1,-2.3966192957500003
log_lik_all_subs.51.1,-6.4402774124999995
log_lik_all_subs.52.1,-2.4640662549999997
log_lik_all_subs.53.1,-2.494516215
log_lik_all_subs.54.1,-12.340472324999999
log_lik_all_subs.55.1,-3.5826428574999998
log_lik_all_subs.56.1,-2.910117025
log_lik_all_subs.57.1,-1.0303200728750501
log_lik_all_subs.58.1,-1.936247353025
log_lik_all_subs.59.1,-5.8562412550000005
log_lik_all_subs.60.1,-5.83778028
log_lik_all_subs.61.1,-3.3516020600000003
log_lik_all_subs.62.1,-0.781385007476175
log_lik_all_subs.63.1,-9.725638885
log_lik_all_subs.64.1,-6.826377932500001
log_lik_all_subs.65.1,-1.6177449322325002
log_lik_all_subs.66.1,-6.2862621225
log_lik_all_subs.67.1,-2.9300326924999998
log_lik_all_subs.68.1,-7.387432535
log_lik_all_subs.69.1,-5.20373237
log_lik_all_subs.70.1,-2.4270916575
log_lik_all_subs.71.1,-15.89021869
log_lik_all_subs.72.1,-11.105851925
log_lik_all_subs.73.1,-4.768156825
log_lik_all_subs.74.1,-8.0483756075
log_lik_all_subs.75.1,-8.7167857975
log_lik_all_subs.76.1,-10.9558030375
log_lik_all_subs.77.1,-4.941279005
log_lik_all_subs.78.1,-10.472983452500001
log_lik_all_subs.79.1,-2.8070464725
log_lik_all_subs.80.1,-6.37640559
log_lik_all_subs.81.1,-2.7890541250000003
log_lik_all_subs.82.1,-9.5674175875
log_lik_all_subs.83.1,-4.6140611625000005
log_lik_all_subs.84.1,0.0
log_lik_all_subs.85.1,0.0
log_lik_all_subs.86.1,-7.167293770000001
log_lik_all_subs.87.1,-5.1543256325
log_lik_all_subs.88.1,-5.5431958925
log_lik_all_subs.89.1,-0.9988430051355
log_lik_all_subs.90.1,0.0
log_lik_all_subs.1.2,-2.0483646575
log_lik_all_subs.2.2,-3.010441965
log_lik_all_subs.3.2,-11.402498675
log_lik_all_subs.4.2,-9.073663237500002
log_lik_all_subs.5.2,-2.4314830275000006
log_lik_all_subs.6.2,-2.613735265
log_lik_all_subs.7.2,-8.19408783
log_lik_all_subs.8.2,-10.035329442499998
log_lik_all_subs.9.2,-4.767648209999999
log_lik_all_subs.10.2,-2.97833835
log_lik_all_subs.11.2,0.0
log_lik_all_subs.12.2,-19.127309574999998
log_lik_all_subs.13.2,-12.047171750000002
log_lik_all_subs.14.2,-5.2980154425
log_lik_all_subs.15.2,-2.4167684299999994
log_lik_all_subs.16.2,-3.211348468225
log_lik_all_subs.17.2,-7.1283731825
log_lik_all_subs.18.2,-3.4937756925
log_lik_all_subs.19.2,-0.904751112535
log_lik_all_subs.20.2,-2.9450953374999997
log_lik_all_subs.21.2,-5.417126282499999
log_lik_all_subs.22.2,-8.51229071
log_lik_all_subs.23.2,-9.390557185000002
log_lik_all_subs.24.2,-2.1446211177
log_lik_all_subs.25.2,0.0
log_lik_all_subs.26.2,-3.3731674600000003
log_lik_all_subs.27.2,-1.3664564584449999
log_lik_all_subs.28.2,0.0
log_lik_all_subs.29.2,-18.526932025
log_lik_all_subs.30.2,-3.85796227
log_lik_all_subs.31.2,-5.3753166624999995
log_lik_all_subs.32.2,-3.37619098
log_lik_all_subs.33.2,-2.62597865
