,0
log_lik_all_subs.1.1,-47.182551175
log_lik_all_subs.2.1,-24.94894125
log_lik_all_subs.3.1,-51.388351324999995
log_lik_all_subs.4.1,-50.684591175
log_lik_all_subs.5.1,-50.670721424999996
log_lik_all_subs.6.1,-55.83676474999999
log_lik_all_subs.7.1,-37.961068625
log_lik_all_subs.8.1,-72.929530875
log_lik_all_subs.9.1,-51.3913852
log_lik_all_subs.10.1,-61.931809099999995
log_lik_all_subs.11.1,-53.9081298
log_lik_all_subs.12.1,-70.37508867499999
log_lik_all_subs.13.1,-55.453670425000006
log_lik_all_subs.14.1,-45.555654200000006
log_lik_all_subs.15.1,-39.0008514
log_lik_all_subs.16.1,-45.31113705
log_lik_all_subs.17.1,-36.9287758
log_lik_all_subs.18.1,-50.36697905
log_lik_all_subs.19.1,-54.211744925
log_lik_all_subs.20.1,-58.098672449999995
log_lik_all_subs.21.1,-62.754165650000004
log_lik_all_subs.22.1,-41.1563409
log_lik_all_subs.23.1,-72.824024025
log_lik_all_subs.24.1,-54.021216375
log_lik_all_subs.25.1,-47.160889075
log_lik_all_subs.26.1,-34.434916525
log_lik_all_subs.27.1,-56.269687975000004
log_lik_all_subs.28.1,-54.011186025
log_lik_all_subs.29.1,-53.50240485
log_lik_all_subs.30.1,-61.0085749
log_lik_all_subs.31.1,0.0
log_lik_all_subs.32.1,-50.920803
log_lik_all_subs.33.1,-60.016065749999996
log_lik_all_subs.34.1,-77.83745334999999
log_lik_all_subs.35.1,-57.551151525
log_lik_all_subs.36.1,-40.725026675
log_lik_all_subs.37.1,-54.223291075
log_lik_all_subs.38.1,-48.99251327500001
log_lik_all_subs.39.1,-58.825450125
log_lik_all_subs.40.1,-70.79464245
log_lik_all_subs.41.1,-62.910027025000005
log_lik_all_subs.42.1,-59.8709127
log_lik_all_subs.43.1,-40.486196924999994
log_lik_all_subs.44.1,-63.8327196
log_lik_all_subs.45.1,-24.495759300000003
log_lik_all_subs.46.1,-43.12762905
log_lik_all_subs.47.1,-52.97613435
log_lik_all_subs.48.1,-48.907661875
log_lik_all_subs.49.1,-59.287738675
log_lik_all_subs.50.1,-48.222813275
log_lik_all_subs.51.1,-50.924643075
log_lik_all_subs.52.1,-52.570827625
log_lik_all_subs.53.1,-43.026065
log_lik_all_subs.54.1,-66.70242095
log_lik_all_subs.55.1,-50.456372075
log_lik_all_subs.56.1,-27.195291875000002
log_lik_all_subs.57.1,-47.64643924999999
log_lik_all_subs.58.1,-49.087283025
log_lik_all_subs.59.1,-51.3639035
log_lik_all_subs.60.1,-70.405127425
log_lik_all_subs.61.1,-49.47561782499999
log_lik_all_subs.62.1,-51.021710899999995
log_lik_all_subs.63.1,-59.47635875
log_lik_all_subs.64.1,-62.77251545
log_lik_all_subs.65.1,-36.2175771
log_lik_all_subs.66.1,-36.462684849999995
log_lik_all_subs.67.1,-66.20061375
log_lik_all_subs.68.1,-59.24277497500001
log_lik_all_subs.69.1,-54.272687024999996
log_lik_all_subs.70.1,-62.85276880000001
log_lik_all_subs.71.1,-59.86529125
log_lik_all_subs.72.1,-60.692149949999994
log_lik_all_subs.73.1,-57.83653805
log_lik_all_subs.74.1,-54.7802312
log_lik_all_subs.75.1,-60.88539935
log_lik_all_subs.76.1,-48.5009752
log_lik_all_subs.77.1,-43.027418875
log_lik_all_subs.78.1,-66.330669175
log_lik_all_subs.79.1,-46.190833575
log_lik_all_subs.80.1,-60.441701275
log_lik_all_subs.81.1,-42.348088325
log_lik_all_subs.82.1,-48.30566592499999
log_lik_all_subs.83.1,-56.013799399999996
log_lik_all_subs.84.1,0.0
log_lik_all_subs.85.1,-65.0314984
log_lik_all_subs.86.1,0.0
log_lik_all_subs.87.1,-65.507743575
log_lik_all_subs.88.1,-41.032390575
log_lik_all_subs.89.1,-60.465898825
log_lik_all_subs.90.1,-59.67456454999999
log_lik_all_subs.1.2,-39.2648194
log_lik_all_subs.2.2,-30.72253405
log_lik_all_subs.3.2,-61.238107
log_lik_all_subs.4.2,-60.96160235
log_lik_all_subs.5.2,-51.855035674999996
log_lik_all_subs.6.2,-49.065989824999996
log_lik_all_subs.7.2,-58.224809725
log_lik_all_subs.8.2,-61.906919125
log_lik_all_subs.9.2,-53.057387950000006
log_lik_all_subs.10.2,-61.34463125
log_lik_all_subs.11.2,-70.93831479999999
log_lik_all_subs.12.2,-71.706392425
log_lik_all_subs.13.2,-47.9205738
log_lik_all_subs.14.2,-36.14425225
log_lik_all_subs.15.2,-35.212331725
log_lik_all_subs.16.2,-52.207438225
log_lik_all_subs.17.2,0.0
log_lik_all_subs.18.2,-53.997072425000006
log_lik_all_subs.19.2,-58.24285145
log_lik_all_subs.20.2,-41.393924
log_lik_all_subs.21.2,-50.926666425
log_lik_all_subs.22.2,-43.186210675
log_lik_all_subs.23.2,-59.53430225000001
log_lik_all_subs.24.2,-62.401436625
log_lik_all_subs.25.2,-37.959557275
log_lik_all_subs.26.2,-44.830580025
log_lik_all_subs.27.2,-54.171864525
log_lik_all_subs.28.2,0.0
log_lik_all_subs.29.2,-45.8594817
log_lik_all_subs.30.2,-63.957729175
log_lik_all_subs.31.2,-59.204703175000006
log_lik_all_subs.32.2,-67.4952917
log_lik_all_subs.33.2,-38.51900155
log_lik_all_subs.34.2,-73.9282705
log_lik_all_subs.35.2,-59.6416006
log_lik_all_subs.36.2,-60.537470925
log_lik_all_subs.37.2,-66.725294975
log_lik_all_subs.38.2,-39.967226025
log_lik_all_subs.39.2,-70.9338725
log_lik_all_subs.40.2,-64.962839325
log_lik_all_subs.41.2,-66.6488818
log_lik_all_subs.42.2,-41.676263850000005
log_lik_all_subs.43.2,-43.864656800000006
log_lik_all_subs.44.2,-78.08491670000001
log_lik_all_subs.45.2,-52.178735249999995
log_lik_all_subs.46.2,-39.78190120000001
log_lik_all_subs.47.2,-41.724585025
log_lik_all_subs.48.2,-49.5137611
log_lik_all_subs.49.2,-54.897326650000004
log_lik_all_subs.50.2,-94.46814407499998
log_lik_all_subs.51.2,-47.5887742
log_lik_all_subs.52.2,-55.853053225
log_lik_all_subs.53.2,-48.11484827500001
log_lik_all_subs.54.2,-49.691642699999996
log_lik_all_subs.55.2,-46.799374425
log_lik_all_subs.56.2,-56.430622925
log_lik_all_subs.57.2,-49.779684125
log_lik_all_subs.58.2,0.0
log_lik_all_subs.59.2,-50.243736074999994
log_lik_all_subs.60.2,-62.357505275
log_lik_all_subs.61.2,-44.038865925
log_lik_all_subs.62.2,-37.8860281
log_lik_all_subs.63.2,-60.734296
log_lik_all_subs.64.2,-76.614737275
log_lik_all_subs.65.2,-25.452486
log_lik_all_subs.66.2,-38.098577875000004
log_lik_all_subs.67.2,-65.7559002
log_lik_all_subs.68.2,-44.882071725
log_lik_all_subs.69.2,-41.6585948
log_lik_all_subs.70.2,-68.17832022500001
log_lik_all_subs.71.2,-55.095264275
log_lik_all_subs.72.2,-58.53203335
log_lik_all_subs.73.2,-62.36874925
log_lik_all_subs.74.2,-51.990492175
log_lik_all_subs.75.2,-58.857030075000004
log_lik_all_subs.76.2,-63.569782825000004
log_lik_all_subs.77.2,-55.35899555
log_lik_all_subs.78.2,-50.852689575
log_lik_all_subs.79.2,-48.681108
log_lik_all_subs.80.2,-54.095660124999995
log_lik_all_subs.81.2,-36.32299915
log_lik_all_subs.82.2,-60.591912125
log_lik_all_subs.83.2,-50.268737825
log_lik_all_subs.84.2,-46.976557324999995
log_lik_all_subs.85.2,-68.4443411
log_lik_all_subs.86.2,-60.207504075
log_lik_all_subs.87.2,-60.3477567
log_lik_all_subs.88.2,-28.501252500000003
log_lik_all_subs.89.2,-46.282006125
log_lik_all_subs.90.2,-51.800013099999994
log_lik_all_subs.1.3,-38.297561650000006
log_lik_all_subs.2.3,-40.249572175000004
log_lik_all_subs.3.3,-65.801991275
log_lik_all_subs.4.3,-50.068038650000005
log_lik_all_subs.5.3,-59.13808705
log_lik_all_subs.6.3,-38.602225700000005
log_lik_all_subs.7.3,-44.43780842499999
log_lik_all_subs.8.3,-63.06891042499999
log_lik_all_subs.9.3,-51.2207195
log_lik_all_subs.10.3,-69.19621839999999
log_lik_all_subs.11.3,-64.915658875
log_lik_all_subs.12.3,-36.987810275
log_lik_all_subs.13.3,-48.73555100000001
log_lik_all_subs.14.3,-38.724128275
log_lik_all_subs.15.3,-42.058542925
log_lik_all_subs.16.3,-40.6026384
log_lik_all_subs.17.3,-49.091765925
log_lik_all_subs.18.3,-73.92180295000001
log_lik_all_subs.19.3,-57.598079925
log_lik_all_subs.20.3,-43.542881200000004
log_lik_all_subs.21.3,-60.431904075
log_lik_all_subs.22.3,-69.377668675
log_lik_all_subs.23.3,-64.15181835
log_lik_all_subs.24.3,-44.09393365
log_lik_all_subs.25.3,-45.16803875
log_lik_all_subs.26.3,-44.409275975
log_lik_all_subs.27.3,-45.39157302500001
log_lik_all_subs.28.3,-60.43577989999999
log_lik_all_subs.29.3,-59.492481925
log_lik_all_subs.30.3,-54.172831300000006
log_lik_all_subs.31.3,-75.91004475
log_lik_all_subs.32.3,-66.31214564999999
log_lik_all_subs.33.3,-52.217807475
log_lik_all_subs.34.3,-67.160980325
log_lik_all_subs.35.3,-53.3838345
log_lik_all_subs.36.3,-43.162892424999995
log_lik_all_subs.37.3,-60.531016725
log_lik_all_subs.38.3,-36.0924897
log_lik_all_subs.39.3,-56.50901215
log_lik_all_subs.40.3,-61.1501595
log_lik_all_subs.41.3,-60.4050936
log_lik_all_subs.42.3,-32.7403655
log_lik_all_subs.43.3,-41.0386302
log_lik_all_subs.44.3,-63.487966699999994
log_lik_all_subs.45.3,-41.729911650000005
log_lik_all_subs.46.3,-36.145274625
log_lik_all_subs.47.3,-55.957760949999994
log_lik_all_subs.48.3,-57.260496700000004
log_lik_all_subs.49.3,-62.16991295
log_lik_all_subs.50.3,-59.049341525
log_lik_all_subs.51.3,-56.06310487500001
log_lik_all_subs.52.3,-53.223465600000004
log_lik_all_subs.53.3,-62.125896974999996
log_lik_all_subs.54.3,-67.02653054999999
log_lik_all_subs.55.3,-44.229273375
log_lik_all_subs.56.3,-40.35154655
log_lik_all_subs.57.3,-50.18081865
log_lik_all_subs.58.3,-43.08888030000001
log_lik_all_subs.59.3,-52.13227655
log_lik_all_subs.60.3,-62.86061502500001
log_lik_all_subs.61.3,-48.94455565
log_lik_all_subs.62.3,-27.647152549999998
log_lik_all_subs.63.3,-57.512582699999996
log_lik_all_subs.64.3,-54.357407475
log_lik_all_subs.65.3,-19.57670495
log_lik_all_subs.66.3,-39.49239072500001
log_lik_all_subs.67.3,-56.84067015000001
log_lik_all_subs.68.3,-54.76126392500001
log_lik_all_subs.69.3,-46.245152174999994
log_lik_all_subs.70.3,-53.557595174999996
log_lik_all_subs.71.3,-59.650218699999996
log_lik_all_subs.72.3,-51.813318825
log_lik_all_subs.73.3,-45.085118824999995
log_lik_all_subs.74.3,-40.654093425
log_lik_all_subs.75.3,-61.463847175000005
log_lik_all_subs.76.3,-54.926395475
log_lik_all_subs.77.3,-51.6997865
log_lik_all_subs.78.3,-57.523455775
log_lik_all_subs.79.3,-34.819211075
log_lik_all_subs.80.3,-48.962789425000004
log_lik_all_subs.81.3,-38.101217625000004
log_lik_all_subs.82.3,-36.782298125000004
log_lik_all_subs.83.3,-65.97012885000001
log_lik_all_subs.84.3,-47.517350675
log_lik_all_subs.85.3,-62.050809224999995
log_lik_all_subs.86.3,-58.80582640000001
log_lik_all_subs.87.3,-49.643212850000005
log_lik_all_subs.88.3,-38.74242635
log_lik_all_subs.89.3,-51.4710417
log_lik_all_subs.90.3,-44.02335145
log_lik_all_subs.1.4,-33.064795450000005
log_lik_all_subs.2.4,-33.99488535
log_lik_all_subs.3.4,-46.5318259
log_lik_all_subs.4.4,-51.202975925000004
log_lik_all_subs.5.4,-51.0411433
log_lik_all_subs.6.4,-56.41321965
log_lik_all_subs.7.4,-43.850437475
log_lik_all_subs.8.4,-52.338495175
log_lik_all_subs.9.4,-43.297493225
log_lik_all_subs.10.4,-61.09037409999999
log_lik_all_subs.11.4,-59.837128150000005
log_lik_all_subs.12.4,-33.437359625
log_lik_all_subs.13.4,-37.9494722
log_lik_all_subs.14.4,-44.675198
log_lik_all_subs.15.4,-36.84961357499999
log_lik_all_subs.16.4,-44.870423625
log_lik_all_subs.17.4,-47.87793435
log_lik_all_subs.18.4,-62.726898825
log_lik_all_subs.19.4,-62.91118240000001
log_lik_all_subs.20.4,-48.17863425
log_lik_all_subs.21.4,-52.616947175
log_lik_all_subs.22.4,-59.44703955
log_lik_all_subs.23.4,-74.694311125
log_lik_all_subs.24.4,-59.2350208
log_lik_all_subs.25.4,-42.060039700000004
log_lik_all_subs.26.4,-36.6450418
log_lik_all_subs.27.4,-33.67864735
log_lik_all_subs.28.4,-67.9815389
log_lik_all_subs.29.4,-36.895136125
log_lik_all_subs.30.4,-61.577134425
log_lik_all_subs.31.4,-53.14969584999999
log_lik_all_subs.32.4,-53.866084525
log_lik_all_subs.33.4,-50.870853000000004
log_lik_all_subs.34.4,-57.39981745
log_lik_all_subs.35.4,-45.023208825
log_lik_all_subs.36.4,-52.0242322
log_lik_all_subs.37.4,-59.23853575
log_lik_all_subs.38.4,-38.549091325
log_lik_all_subs.39.4,-60.57548559999999
log_lik_all_subs.40.4,-41.957312225
log_lik_all_subs.41.4,-60.47734805
log_lik_all_subs.42.4,-42.065064675
log_lik_all_subs.43.4,-41.47079855
log_lik_all_subs.44.4,-65.91576845
log_lik_all_subs.45.4,-55.463333425
log_lik_all_subs.46.4,-46.205348075
log_lik_all_subs.47.4,-66.66734882499999
log_lik_all_subs.48.4,-59.4115282
log_lik_all_subs.49.4,-54.833640824999996
log_lik_all_subs.50.4,-83.17555815
log_lik_all_subs.51.4,-46.63637285
log_lik_all_subs.52.4,-48.5141085
log_lik_all_subs.53.4,-41.187907775
log_lik_all_subs.54.4,-62.191309175
log_lik_all_subs.55.4,-42.71686079999999
log_lik_all_subs.56.4,-39.93815725
log_lik_all_subs.57.4,-45.991868249999996
log_lik_all_subs.58.4,-57.5539575
log_lik_all_subs.59.4,-50.620239025000004
log_lik_all_subs.60.4,-45.875936625
log_lik_all_subs.61.4,-38.84940885
log_lik_all_subs.62.4,-40.7153385
log_lik_all_subs.63.4,-57.606301925
log_lik_all_subs.64.4,-53.70517735
log_lik_all_subs.65.4,-31.13060045
log_lik_all_subs.66.4,-33.68205085
log_lik_all_subs.67.4,-65.180352
log_lik_all_subs.68.4,-52.01290705
log_lik_all_subs.69.4,-46.53519565
log_lik_all_subs.70.4,-58.530247624999994
log_lik_all_subs.71.4,-53.260770625000006
log_lik_all_subs.72.4,-47.34389555
log_lik_all_subs.73.4,-44.5235544
log_lik_all_subs.74.4,-43.6024957
log_lik_all_subs.75.4,-61.05728345
log_lik_all_subs.76.4,-55.396730725000005
log_lik_all_subs.77.4,-38.20350535
log_lik_all_subs.78.4,-77.037979225
log_lik_all_subs.79.4,-44.748612099999995
log_lik_all_subs.80.4,-26.391818100000002
log_lik_all_subs.81.4,-36.0633584
log_lik_all_subs.82.4,-56.952584325000004
log_lik_all_subs.83.4,-61.621786699999994
log_lik_all_subs.84.4,-54.867407299999996
log_lik_all_subs.85.4,-62.326054600000006
log_lik_all_subs.86.4,-62.994001725
log_lik_all_subs.87.4,-64.060285525
log_lik_all_subs.88.4,-42.0484719
log_lik_all_subs.89.4,-46.660298
log_lik_all_subs.90.4,-52.48951395000001
log_lik_all_subs.1.5,-38.079000400000005
log_lik_all_subs.2.5,-42.075401975
log_lik_all_subs.3.5,-48.76037085
log_lik_all_subs.4.5,-54.477419624999996
log_lik_all_subs.5.5,-45.74648055
log_lik_all_subs.6.5,-42.291298425
log_lik_all_subs.7.5,-41.829061
log_lik_all_subs.8.5,-50.34140375
log_lik_all_subs.9.5,-59.771295825
log_lik_all_subs.10.5,-69.31883355
log_lik_all_subs.11.5,-73.91700705
log_lik_all_subs.12.5,-30.085679799999998
log_lik_all_subs.13.5,-42.371174475
log_lik_all_subs.14.5,-37.4130631
log_lik_all_subs.15.5,-36.408598475
log_lik_all_subs.16.5,-48.2926078
log_lik_all_subs.17.5,-38.392397349999996
log_lik_all_subs.18.5,-68.3771771
log_lik_all_subs.19.5,-56.53779365
log_lik_all_subs.20.5,-30.251081075
log_lik_all_subs.21.5,-50.032087225000005
log_lik_all_subs.22.5,-53.96345492500001
log_lik_all_subs.23.5,-63.71477039999999
log_lik_all_subs.24.5,-65.5880583
log_lik_all_subs.25.5,-54.15835615
log_lik_all_subs.26.5,-50.156203275
log_lik_all_subs.27.5,-46.072688475
log_lik_all_subs.28.5,0.0
log_lik_all_subs.29.5,-47.01531765
log_lik_all_subs.30.5,-68.10281895
log_lik_all_subs.31.5,-56.494125725
log_lik_all_subs.32.5,-59.22860075
log_lik_all_subs.33.5,-48.623001574999996
log_lik_all_subs.34.5,-67.250740275
log_lik_all_subs.35.5,-40.5499875
log_lik_all_subs.36.5,-36.471354074999994
log_lik_all_subs.37.5,-54.2035711
log_lik_all_subs.38.5,-41.325749875
log_lik_all_subs.39.5,-56.274014
log_lik_all_subs.40.5,-62.987689599999996
log_lik_all_subs.41.5,-112.21096625
log_lik_all_subs.42.5,-35.609394725
log_lik_all_subs.43.5,-43.73550720000001
log_lik_all_subs.44.5,-70.77098920000002
log_lik_all_subs.45.5,-43.898388049999994
log_lik_all_subs.46.5,-57.772390724999994
log_lik_all_subs.47.5,-45.890902575
log_lik_all_subs.48.5,-60.63213472499999
log_lik_all_subs.49.5,-60.651916625
log_lik_all_subs.50.5,-46.28256017500001
log_lik_all_subs.51.5,0.0
log_lik_all_subs.52.5,-46.213795375000004
log_lik_all_subs.53.5,-38.061938649999995
log_lik_all_subs.54.5,-65.94171435
log_lik_all_subs.55.5,-46.576177875
log_lik_all_subs.56.5,0.0
