,0
log_lik_all_subs.1.1,-81.981036725
log_lik_all_subs.2.1,-116.18815450000001
log_lik_all_subs.3.1,-147.21752725000002
log_lik_all_subs.4.1,-79.10985310000001
log_lik_all_subs.5.1,-82.536228575
log_lik_all_subs.6.1,-112.9624515
log_lik_all_subs.7.1,-125.0397715
log_lik_all_subs.8.1,-137.955053
log_lik_all_subs.9.1,-133.26174275
log_lik_all_subs.10.1,-102.818154
log_lik_all_subs.11.1,-149.747337
log_lik_all_subs.12.1,-187.18722
log_lik_all_subs.13.1,-107.24885075
log_lik_all_subs.14.1,-97.10439277500001
log_lik_all_subs.15.1,-121.007648
log_lik_all_subs.16.1,-116.12215549999999
log_lik_all_subs.17.1,-78.49393202499999
log_lik_all_subs.18.1,-97.76048270000001
log_lik_all_subs.19.1,-80.548823175
log_lik_all_subs.20.1,-111.63231549999999
log_lik_all_subs.21.1,-116.682825
log_lik_all_subs.22.1,-114.59673275
log_lik_all_subs.23.1,-127.91427524999999
log_lik_all_subs.24.1,-104.67019375000001
log_lik_all_subs.25.1,-144.72196325
log_lik_all_subs.26.1,-146.74393025
log_lik_all_subs.27.1,-99.017198375
log_lik_all_subs.28.1,-72.95104145
log_lik_all_subs.29.1,-136.95670225
log_lik_all_subs.30.1,-90.00336555
log_lik_all_subs.31.1,-103.47293349999998
log_lik_all_subs.32.1,-80.19277235
log_lik_all_subs.33.1,-107.03581025000001
log_lik_all_subs.34.1,-159.362546
log_lik_all_subs.35.1,-124.54013225
log_lik_all_subs.36.1,-102.61201025
log_lik_all_subs.37.1,-121.3628475
log_lik_all_subs.38.1,-102.0467679
log_lik_all_subs.39.1,-131.74043925
log_lik_all_subs.40.1,-71.62649185
log_lik_all_subs.41.1,-113.6490075
log_lik_all_subs.42.1,-97.909633575
log_lik_all_subs.43.1,-119.99753700000001
log_lik_all_subs.44.1,-152.06919399999998
log_lik_all_subs.45.1,-78.13179497499999
log_lik_all_subs.46.1,-132.31027724999998
log_lik_all_subs.47.1,-120.44711025
log_lik_all_subs.48.1,-85.46675837500001
log_lik_all_subs.49.1,-77.98689095
log_lik_all_subs.50.1,-123.10674425
log_lik_all_subs.51.1,-105.64135524999999
log_lik_all_subs.52.1,-97.99085129999999
log_lik_all_subs.53.1,-92.1332194
log_lik_all_subs.54.1,-123.9001985
log_lik_all_subs.55.1,-134.57062900000003
log_lik_all_subs.56.1,-79.87984287500001
log_lik_all_subs.57.1,-95.01448435
log_lik_all_subs.58.1,-66.639367775
log_lik_all_subs.59.1,-74.04225825
log_lik_all_subs.60.1,-107.9425805
log_lik_all_subs.61.1,-112.034687
log_lik_all_subs.62.1,-79.7470657
log_lik_all_subs.63.1,-137.27402899999998
log_lik_all_subs.64.1,-110.00136825
log_lik_all_subs.65.1,-172.03168825
log_lik_all_subs.66.1,-82.558415825
log_lik_all_subs.67.1,-83.78885115
log_lik_all_subs.68.1,-144.791294
log_lik_all_subs.69.1,-112.28819075000001
log_lik_all_subs.70.1,-106.046093
log_lik_all_subs.71.1,-144.912481
log_lik_all_subs.72.1,-88.36545667499999
log_lik_all_subs.73.1,-100.869751875
log_lik_all_subs.74.1,-108.76084924999999
log_lik_all_subs.75.1,-97.9096204
log_lik_all_subs.76.1,-122.93465375
log_lik_all_subs.77.1,-84.68906592500001
log_lik_all_subs.78.1,-143.15876900000004
log_lik_all_subs.79.1,-98.23097965
log_lik_all_subs.80.1,-69.451989525
log_lik_all_subs.81.1,-102.082401
log_lik_all_subs.82.1,-95.0556011
log_lik_all_subs.83.1,-100.602064
log_lik_all_subs.84.1,0.0
log_lik_all_subs.85.1,0.0
log_lik_all_subs.86.1,0.0
log_lik_all_subs.87.1,0.0
log_lik_all_subs.88.1,0.0
log_lik_all_subs.89.1,-97.4233517
log_lik_all_subs.90.1,-139.587562
log_lik_all_subs.1.2,-97.4715379
log_lik_all_subs.2.2,-115.23903449999999
log_lik_all_subs.3.2,-130.5578705
log_lik_all_subs.4.2,-52.720895350000006
log_lik_all_subs.5.2,-80.70304605
log_lik_all_subs.6.2,-64.5683425
log_lik_all_subs.7.2,-89.56682537499998
log_lik_all_subs.8.2,-131.0118505
log_lik_all_subs.9.2,0.0
log_lik_all_subs.10.2,-115.56690225000001
log_lik_all_subs.11.2,-135.50978149999997
log_lik_all_subs.12.2,-148.9066145
log_lik_all_subs.13.2,-100.9717593
log_lik_all_subs.14.2,-77.37963055
log_lik_all_subs.15.2,-104.10469949999998
log_lik_all_subs.16.2,-93.8861821
log_lik_all_subs.17.2,0.0
log_lik_all_subs.18.2,-112.4418885
log_lik_all_subs.19.2,-88.370306875
log_lik_all_subs.20.2,-86.35413684999999
log_lik_all_subs.21.2,-73.635928975
log_lik_all_subs.22.2,-72.39669562499999
log_lik_all_subs.23.2,-99.74374002500001
log_lik_all_subs.24.2,-66.53166402500001
log_lik_all_subs.25.2,-106.454333
log_lik_all_subs.26.2,-99.41979725
log_lik_all_subs.27.2,-79.356236975
log_lik_all_subs.28.2,0.0
log_lik_all_subs.29.2,-101.715096
log_lik_all_subs.30.2,-74.05676475
log_lik_all_subs.31.2,-106.71428125
log_lik_all_subs.32.2,-95.11536835000001
log_lik_all_subs.33.2,-89.0747059
log_lik_all_subs.34.2,-123.94632825
log_lik_all_subs.35.2,-98.58366072499999
log_lik_all_subs.36.2,-87.592108275
log_lik_all_subs.37.2,-131.54184425
log_lik_all_subs.38.2,-82.95828639999999
log_lik_all_subs.39.2,-113.226435
log_lik_all_subs.40.2,-88.72635837499999
log_lik_all_subs.41.2,-92.20427169999998
log_lik_all_subs.42.2,-74.7435313
log_lik_all_subs.43.2,-57.441635025
log_lik_all_subs.44.2,-118.22438675000001
log_lik_all_subs.45.2,-141.87267225
log_lik_all_subs.46.2,-72.02591255000002
log_lik_all_subs.47.2,-91.7730246
log_lik_all_subs.48.2,-79.42966102499999
log_lik_all_subs.49.2,-97.807830325
log_lik_all_subs.50.2,-88.40266972500001
log_lik_all_subs.51.2,-82.5430983
log_lik_all_subs.52.2,-97.600874625
log_lik_all_subs.53.2,-54.182298974999995
log_lik_all_subs.54.2,-97.896915725
log_lik_all_subs.55.2,-104.862103
log_lik_all_subs.56.2,-74.39609909999999
log_lik_all_subs.57.2,-55.9794786
log_lik_all_subs.58.2,0.0
log_lik_all_subs.59.2,-89.315686225
log_lik_all_subs.60.2,-66.38738005
log_lik_all_subs.61.2,-72.93607895
log_lik_all_subs.62.2,-94.073064825
log_lik_all_subs.63.2,-113.12049975
log_lik_all_subs.64.2,-103.809564
log_lik_all_subs.65.2,-129.78332625
log_lik_all_subs.66.2,-88.619216275
log_lik_all_subs.67.2,-105.002169
log_lik_all_subs.68.2,-167.39575125
log_lik_all_subs.69.2,-72.20768734999999
log_lik_all_subs.70.2,-127.61311225
log_lik_all_subs.71.2,-136.9134415
log_lik_all_subs.72.2,-49.595420825
log_lik_all_subs.73.2,-78.90200219999998
log_lik_all_subs.74.2,-99.33216404999999
log_lik_all_subs.75.2,-65.776039125
log_lik_all_subs.76.2,-71.81421950000001
log_lik_all_subs.77.2,-90.65137765
log_lik_all_subs.78.2,-151.81881075
log_lik_all_subs.79.2,-113.82935475
log_lik_all_subs.80.2,-102.468604
log_lik_all_subs.81.2,-60.0742304
log_lik_all_subs.82.2,-62.415022875000005
log_lik_all_subs.83.2,-99.364428025
log_lik_all_subs.84.2,-122.338955
log_lik_all_subs.85.2,-104.53549025000001
log_lik_all_subs.86.2,-151.96437450000002
log_lik_all_subs.87.2,-72.581662975
log_lik_all_subs.88.2,-98.153794725
log_lik_all_subs.89.2,-90.5872219
log_lik_all_subs.90.2,-54.3222604
log_lik_all_subs.1.3,-85.234802175
log_lik_all_subs.2.3,-106.201705
log_lik_all_subs.3.3,-103.25148374999999
log_lik_all_subs.4.3,-89.54759577499999
log_lik_all_subs.5.3,-93.98549705
log_lik_all_subs.6.3,-79.225082675
log_lik_all_subs.7.3,-68.98119982499999
log_lik_all_subs.8.3,-78.38857739999999
log_lik_all_subs.9.3,-124.979562
log_lik_all_subs.10.3,-93.04420190000002
log_lik_all_subs.11.3,-114.639464
log_lik_all_subs.12.3,-132.80982275
log_lik_all_subs.13.3,-102.20358725
log_lik_all_subs.14.3,-70.65402812500001
log_lik_all_subs.15.3,-82.237540375
log_lik_all_subs.16.3,-82.89467
log_lik_all_subs.17.3,-85.4812389
log_lik_all_subs.18.3,-100.69354735
log_lik_all_subs.19.3,-72.423853125
log_lik_all_subs.20.3,-66.593450075
log_lik_all_subs.21.3,-64.522643225
