,0
log_lik_all_subs.1.1,-98.13903289999999
log_lik_all_subs.2.1,-96.9905563
log_lik_all_subs.3.1,-118.31111824999999
log_lik_all_subs.4.1,-77.97946725
log_lik_all_subs.5.1,-104.315777
log_lik_all_subs.6.1,-65.75661295
log_lik_all_subs.7.1,-89.73335035
log_lik_all_subs.8.1,-106.845279
log_lik_all_subs.9.1,-84.7224381
log_lik_all_subs.10.1,-70.54267742500001
log_lik_all_subs.11.1,-114.60039599999999
log_lik_all_subs.12.1,-123.96174350000001
log_lik_all_subs.13.1,-74.88436914999998
log_lik_all_subs.14.1,-75.83200835
log_lik_all_subs.15.1,-98.65769305
log_lik_all_subs.16.1,-103.57333725000001
log_lik_all_subs.17.1,-98.59963624999999
log_lik_all_subs.18.1,-93.94435065
log_lik_all_subs.19.1,-95.5287551
log_lik_all_subs.20.1,-66.84677845
log_lik_all_subs.21.1,-92.90742565
log_lik_all_subs.22.1,-86.93289435
log_lik_all_subs.23.1,-122.79064374999999
log_lik_all_subs.24.1,-104.49457925000002
log_lik_all_subs.25.1,-101.391005625
log_lik_all_subs.26.1,-123.008477
log_lik_all_subs.27.1,-62.936085625
log_lik_all_subs.28.1,-76.45787245
log_lik_all_subs.29.1,-115.63917625
log_lik_all_subs.30.1,-98.0035946
log_lik_all_subs.31.1,-104.80199299999998
log_lik_all_subs.32.1,-110.85084975
log_lik_all_subs.33.1,-95.70651617499999
log_lik_all_subs.34.1,-105.54749025
log_lik_all_subs.35.1,-109.79383375
log_lik_all_subs.36.1,-107.9189305
log_lik_all_subs.37.1,-131.16780024999997
log_lik_all_subs.38.1,-69.79961649999998
log_lik_all_subs.39.1,-104.14629575
log_lik_all_subs.40.1,-114.8036145
log_lik_all_subs.41.1,-105.103202
log_lik_all_subs.42.1,-73.9517458
log_lik_all_subs.43.1,-86.66792410000001
log_lik_all_subs.44.1,-96.781485275
log_lik_all_subs.45.1,-94.6396981
log_lik_all_subs.46.1,-97.16280065
log_lik_all_subs.47.1,-69.512629475
log_lik_all_subs.48.1,-95.93765945000001
log_lik_all_subs.49.1,-99.554644925
log_lik_all_subs.50.1,-115.82483074999999
log_lik_all_subs.51.1,-78.501021575
log_lik_all_subs.52.1,-93.2906579
log_lik_all_subs.53.1,-106.72554925000001
log_lik_all_subs.54.1,-119.3580295
log_lik_all_subs.55.1,-109.5213365
log_lik_all_subs.56.1,-75.269804175
log_lik_all_subs.57.1,-90.9570367
log_lik_all_subs.58.1,-93.29738675
log_lik_all_subs.59.1,-87.61861452499998
log_lik_all_subs.60.1,-104.94169500000001
log_lik_all_subs.61.1,-98.71995047499999
log_lik_all_subs.62.1,-86.26373585
log_lik_all_subs.63.1,-88.916829575
log_lik_all_subs.64.1,-108.5542065
log_lik_all_subs.65.1,-74.1304724
log_lik_all_subs.66.1,-86.3179801
log_lik_all_subs.67.1,-78.07276405
log_lik_all_subs.68.1,-77.92078432499999
log_lik_all_subs.69.1,-108.76645300000001
log_lik_all_subs.70.1,-103.76856325
log_lik_all_subs.71.1,-102.2750595
log_lik_all_subs.72.1,-94.54259627500001
log_lik_all_subs.73.1,-93.844647475
log_lik_all_subs.74.1,-112.26303275
log_lik_all_subs.75.1,-112.88592675
log_lik_all_subs.76.1,-114.904413
log_lik_all_subs.77.1,-102.03889724999999
log_lik_all_subs.78.1,-93.621153175
log_lik_all_subs.79.1,-90.1735062
log_lik_all_subs.80.1,-89.893583275
log_lik_all_subs.81.1,-83.753984025
log_lik_all_subs.82.1,-83.96537459999999
log_lik_all_subs.83.1,-79.834021875
log_lik_all_subs.84.1,0.0
log_lik_all_subs.85.1,-108.224212
log_lik_all_subs.86.1,-127.44437325
log_lik_all_subs.87.1,-104.50639749999999
log_lik_all_subs.88.1,-80.465664575
log_lik_all_subs.89.1,-85.590908775
log_lik_all_subs.90.1,0.0
log_lik_all_subs.1.2,-93.0253955
log_lik_all_subs.2.2,-105.52020925
log_lik_all_subs.3.2,-106.42061675000001
log_lik_all_subs.4.2,-81.652074425
log_lik_all_subs.5.2,-109.606013
log_lik_all_subs.6.2,-79.29856007499998
log_lik_all_subs.7.2,-87.9734185
log_lik_all_subs.8.2,-123.9899695
log_lik_all_subs.9.2,-95.55707165
log_lik_all_subs.10.2,-75.1800351
log_lik_all_subs.11.2,0.0
log_lik_all_subs.12.2,-124.8338785
log_lik_all_subs.13.2,-77.517041825
log_lik_all_subs.14.2,-81.058902
log_lik_all_subs.15.2,-105.139008
log_lik_all_subs.16.2,-97.40746650000001
log_lik_all_subs.17.2,-103.54744649999999
log_lik_all_subs.18.2,-105.825053
log_lik_all_subs.19.2,-100.79145704999999
log_lik_all_subs.20.2,-86.44923144999998
log_lik_all_subs.21.2,-86.05921552500001
log_lik_all_subs.22.2,-84.11430317499999
log_lik_all_subs.23.2,-121.18736925
log_lik_all_subs.24.2,-105.9922865
log_lik_all_subs.25.2,0.0
log_lik_all_subs.26.2,-114.08002275
log_lik_all_subs.27.2,-77.7632888
log_lik_all_subs.28.2,0.0
log_lik_all_subs.29.2,-106.9482755
log_lik_all_subs.30.2,-86.383829325
log_lik_all_subs.31.2,-102.7408925
log_lik_all_subs.32.2,-98.75470442499999
log_lik_all_subs.33.2,-83.977022825
log_lik_all_subs.34.2,-97.94291954999998
log_lik_all_subs.35.2,-87.1506862
log_lik_all_subs.36.2,-109.235316
log_lik_all_subs.37.2,-126.09463725
