,0
log_lik_all_subs.1.1,-116.5686385
log_lik_all_subs.2.1,-120.77875825
log_lik_all_subs.3.1,-56.791511650000004
log_lik_all_subs.4.1,-100.7183138
log_lik_all_subs.5.1,-70.732624625
log_lik_all_subs.6.1,-130.97192275
log_lik_all_subs.7.1,-66.38471394999999
log_lik_all_subs.8.1,-49.203239724999996
log_lik_all_subs.9.1,-123.6350365
log_lik_all_subs.10.1,-90.2780073
log_lik_all_subs.11.1,-94.17411815
log_lik_all_subs.12.1,-52.5692759
log_lik_all_subs.13.1,-116.05107550000001
log_lik_all_subs.14.1,-118.7011085
log_lik_all_subs.15.1,-95.83948512500001
log_lik_all_subs.16.1,-43.60438164999999
log_lik_all_subs.17.1,-120.04303575
log_lik_all_subs.18.1,-103.80788449999999
log_lik_all_subs.19.1,-111.1182245
log_lik_all_subs.20.1,-71.108055875
log_lik_all_subs.21.1,-78.19653685
log_lik_all_subs.22.1,-118.17786124999999
log_lik_all_subs.23.1,-84.183918525
log_lik_all_subs.24.1,-86.33426515
log_lik_all_subs.25.1,-66.41820625
log_lik_all_subs.26.1,-91.81940555
log_lik_all_subs.27.1,-59.63530585
log_lik_all_subs.28.1,-21.651778175000004
log_lik_all_subs.29.1,-108.7445465
log_lik_all_subs.30.1,-80.19626105
log_lik_all_subs.31.1,-63.78378155
log_lik_all_subs.32.1,-80.45397262499999
log_lik_all_subs.33.1,-89.307482525
log_lik_all_subs.34.1,-90.488213575
log_lik_all_subs.35.1,-96.82100005000001
log_lik_all_subs.36.1,-112.18888575
log_lik_all_subs.37.1,-94.4629717
log_lik_all_subs.38.1,-75.192836625
log_lik_all_subs.39.1,-113.30017749999999
log_lik_all_subs.40.1,-116.767609
log_lik_all_subs.41.1,0.0
log_lik_all_subs.42.1,-106.770316
log_lik_all_subs.43.1,-51.99908745
log_lik_all_subs.44.1,-64.4458684
log_lik_all_subs.45.1,-81.076988025
log_lik_all_subs.46.1,-95.58185939999998
log_lik_all_subs.47.1,-64.87619104999999
log_lik_all_subs.48.1,-103.42606575
log_lik_all_subs.49.1,-80.68237255
log_lik_all_subs.50.1,-91.60313169999999
log_lik_all_subs.51.1,-51.55496185
log_lik_all_subs.52.1,-91.48143852499999
log_lik_all_subs.53.1,-66.729735025
log_lik_all_subs.54.1,-130.81112475
log_lik_all_subs.55.1,-102.1381195
log_lik_all_subs.56.1,-98.636994675
log_lik_all_subs.57.1,-141.13294025
log_lik_all_subs.58.1,-71.844967275
log_lik_all_subs.59.1,-85.061164425
log_lik_all_subs.60.1,-96.49095632499998
log_lik_all_subs.61.1,-86.36427985
log_lik_all_subs.62.1,-121.95317025
log_lik_all_subs.63.1,0.0
log_lik_all_subs.64.1,-86.55377332500001
log_lik_all_subs.65.1,-108.082543
log_lik_all_subs.66.1,-89.65451225
log_lik_all_subs.1.2,-119.37280625000001
log_lik_all_subs.2.2,-81.8693763
log_lik_all_subs.3.2,-44.17803675
log_lik_all_subs.4.2,-99.351842225
log_lik_all_subs.5.2,-63.160018825
log_lik_all_subs.6.2,-130.72873499999997
log_lik_all_subs.7.2,-62.034437475
log_lik_all_subs.8.2,-54.409032999999994
log_lik_all_subs.9.2,-123.01722675
log_lik_all_subs.10.2,-95.12759890000001
log_lik_all_subs.11.2,-112.29048374999999
log_lik_all_subs.12.2,-43.750884825
log_lik_all_subs.13.2,-118.4099375
log_lik_all_subs.14.2,-127.45234824999999
log_lik_all_subs.15.2,-84.733338925
log_lik_all_subs.16.2,-54.111683174999996
log_lik_all_subs.17.2,-128.972894
log_lik_all_subs.18.2,-95.34035235
log_lik_all_subs.19.2,-116.13959799999999
log_lik_all_subs.20.2,-56.15298655
log_lik_all_subs.21.2,-60.302604425
log_lik_all_subs.22.2,-129.49251375
log_lik_all_subs.23.2,-73.40755152499999
log_lik_all_subs.24.2,-84.792064325
log_lik_all_subs.25.2,-64.617957125
log_lik_all_subs.26.2,-118.08733749999999
log_lik_all_subs.27.2,-63.8119675
log_lik_all_subs.28.2,-27.017674875000004
log_lik_all_subs.29.2,-108.34130600000002
log_lik_all_subs.30.2,-85.671916325
log_lik_all_subs.31.2,-58.395441749999996
log_lik_all_subs.32.2,-88.570160675
log_lik_all_subs.33.2,-89.02200842500001
log_lik_all_subs.34.2,-98.848724675
log_lik_all_subs.35.2,-85.61059044999999
log_lik_all_subs.36.2,-90.94154882500001
log_lik_all_subs.37.2,-86.19270702499999
log_lik_all_subs.38.2,-88.45050222500001
log_lik_all_subs.39.2,-117.73478275
log_lik_all_subs.40.2,-127.2833085
log_lik_all_subs.41.2,-89.55598492499999
log_lik_all_subs.42.2,-116.94132275
log_lik_all_subs.43.2,0.0
log_lik_all_subs.44.2,-62.363428325
log_lik_all_subs.45.2,-89.393058125
log_lik_all_subs.46.2,-91.60782052500001
log_lik_all_subs.47.2,-80.9436523
log_lik_all_subs.48.2,-103.71629075000001
log_lik_all_subs.49.2,-87.345802675
log_lik_all_subs.50.2,-78.854913875
log_lik_all_subs.51.2,-44.264288224999994
log_lik_all_subs.52.2,-104.6577805
log_lik_all_subs.53.2,-67.30746002500001
log_lik_all_subs.54.2,-130.23440875
log_lik_all_subs.55.2,-115.03712825000001
log_lik_all_subs.56.2,-83.00823602499999
log_lik_all_subs.57.2,-154.00420049999997
log_lik_all_subs.58.2,-88.971929425
log_lik_all_subs.59.2,-93.441184225
log_lik_all_subs.60.2,-82.68352674999998
log_lik_all_subs.61.2,0.0
log_lik_all_subs.62.2,-118.65068
log_lik_all_subs.63.2,-75.971441475
log_lik_all_subs.64.2,-91.58261004999999
log_lik_all_subs.65.2,-107.22501525
log_lik_all_subs.66.2,-88.787212175
log_lik_all_subs.1.3,-107.96393625
log_lik_all_subs.2.3,-83.752767525
log_lik_all_subs.3.3,-70.24667695
log_lik_all_subs.4.3,-89.76028882499999
log_lik_all_subs.5.3,-75.44393115
log_lik_all_subs.6.3,-130.87044625
log_lik_all_subs.7.3,-52.191678575
log_lik_all_subs.8.3,-40.018056075
log_lik_all_subs.9.3,-119.127638
log_lik_all_subs.10.3,-105.88396599999999
log_lik_all_subs.11.3,-101.608336775
log_lik_all_subs.12.3,-39.4561446
log_lik_all_subs.13.3,-97.24859165000001
log_lik_all_subs.14.3,-139.61982
log_lik_all_subs.15.3,-101.17452522500001
log_lik_all_subs.16.3,-66.288031825
log_lik_all_subs.17.3,-111.408468
log_lik_all_subs.18.3,-96.623665425
log_lik_all_subs.19.3,-118.41557225
log_lik_all_subs.20.3,-63.211157324999995
log_lik_all_subs.21.3,-66.67583142500001
