,0
log_lik_all_subs.1.1,-7.148911525
log_lik_all_subs.2.1,-6.9836724175
log_lik_all_subs.3.1,-4.0098735375
log_lik_all_subs.4.1,-13.840545925
log_lik_all_subs.5.1,-0.023903252933183405
log_lik_all_subs.6.1,-18.188252399999996
log_lik_all_subs.7.1,-9.3173394675
log_lik_all_subs.8.1,-7.097501675
log_lik_all_subs.9.1,-2.46107745
log_lik_all_subs.10.1,-0.015650406361073003
log_lik_all_subs.11.1,-5.1641005374999995
log_lik_all_subs.12.1,-0.02492981757452193
log_lik_all_subs.13.1,-7.8119374425000006
log_lik_all_subs.14.1,-7.333040810000001
log_lik_all_subs.15.1,-0.012533903963865948
log_lik_all_subs.16.1,-15.422956475
log_lik_all_subs.17.1,-0.0284744105672807
log_lik_all_subs.18.1,-0.12377062257323074
log_lik_all_subs.19.1,-0.844088265183
log_lik_all_subs.20.1,-2.4313432324999997
log_lik_all_subs.21.1,-2.633662265
log_lik_all_subs.22.1,-2.10994509
log_lik_all_subs.23.1,-2.779865755
log_lik_all_subs.24.1,-10.250971775
log_lik_all_subs.25.1,-5.7175717624999995
log_lik_all_subs.26.1,-11.167499125
log_lik_all_subs.27.1,-0.911676182904375
log_lik_all_subs.28.1,-5.8257777375
log_lik_all_subs.29.1,-0.238920016422225
log_lik_all_subs.30.1,-0.6256360868602062
log_lik_all_subs.31.1,-6.688103220000001
log_lik_all_subs.32.1,-8.0227736125
log_lik_all_subs.33.1,-0.020650359917917287
log_lik_all_subs.34.1,-16.860947250000002
log_lik_all_subs.35.1,-6.172909722500001
log_lik_all_subs.36.1,-0.033772741391684145
log_lik_all_subs.37.1,-7.709309355
log_lik_all_subs.38.1,-2.52933986
log_lik_all_subs.39.1,-2.2353731645
log_lik_all_subs.40.1,-10.538680164999999
log_lik_all_subs.41.1,-3.9244482025
log_lik_all_subs.42.1,-14.946678875000002
log_lik_all_subs.43.1,-4.68095427
log_lik_all_subs.44.1,-18.430890725
log_lik_all_subs.45.1,-5.617651525
log_lik_all_subs.46.1,-9.625044694999998
log_lik_all_subs.47.1,-6.9885008074999995
log_lik_all_subs.48.1,-0.02546271053716445
log_lik_all_subs.49.1,-14.2612767
log_lik_all_subs.50.1,-14.565062675
log_lik_all_subs.51.1,-3.0519996925
log_lik_all_subs.52.1,-2.736698497602775
log_lik_all_subs.53.1,-13.286626974999999
log_lik_all_subs.54.1,-7.0318519775
log_lik_all_subs.55.1,0.0
log_lik_all_subs.56.1,-6.8090438425
log_lik_all_subs.57.1,-2.88225654
log_lik_all_subs.58.1,-16.7150547
log_lik_all_subs.1.2,-12.213796975000001
log_lik_all_subs.2.2,-3.156392025
log_lik_all_subs.3.2,-2.2180098799999994
log_lik_all_subs.4.2,-9.1562572025
log_lik_all_subs.5.2,-0.023586496187894882
log_lik_all_subs.6.2,-18.146365924999998
log_lik_all_subs.7.2,-9.9636972575
log_lik_all_subs.8.2,-9.27688306
log_lik_all_subs.9.2,0.0
log_lik_all_subs.10.2,-0.1847385386725
log_lik_all_subs.11.2,-6.7925975350000005
log_lik_all_subs.12.2,-0.026647438090038677
log_lik_all_subs.13.2,-3.063469545
log_lik_all_subs.14.2,-2.7741701924999997
log_lik_all_subs.15.2,-0.0260772143950962
log_lik_all_subs.16.2,-15.954748100000002
log_lik_all_subs.17.2,-0.027375221062498525
log_lik_all_subs.18.2,-0.0895790880835225
log_lik_all_subs.19.2,-0.847733571489225
log_lik_all_subs.20.2,-2.1363383625
log_lik_all_subs.21.2,-0.7926066079249999
log_lik_all_subs.22.2,-7.063434755
log_lik_all_subs.23.2,-2.779019085
log_lik_all_subs.24.2,-9.8198108875
log_lik_all_subs.25.2,-6.0855034375
log_lik_all_subs.26.2,-5.678857865
log_lik_all_subs.27.2,-0.8985713190536601
log_lik_all_subs.28.2,-2.9170701450000003
log_lik_all_subs.29.2,-0.16471837053076474
log_lik_all_subs.30.2,-3.2580462125
log_lik_all_subs.31.2,-10.400763534999998
log_lik_all_subs.32.2,-4.99468038
log_lik_all_subs.33.2,-0.02599667530503899
log_lik_all_subs.34.2,-17.570637525
log_lik_all_subs.35.2,-6.4844894925
log_lik_all_subs.36.2,-0.026214763408149436
log_lik_all_subs.37.2,-7.44865545
