,0
log_lik_all_subs.1.1,-47.078928575
log_lik_all_subs.2.1,-24.672762975
log_lik_all_subs.3.1,-58.0099711
log_lik_all_subs.4.1,-55.518857499999996
log_lik_all_subs.5.1,-40.9568747
log_lik_all_subs.6.1,-41.695984725
log_lik_all_subs.7.1,-53.167999375
log_lik_all_subs.8.1,-75.820147925
log_lik_all_subs.9.1,-40.792765349999996
log_lik_all_subs.10.1,-60.3058682
log_lik_all_subs.11.1,-64.911501125
log_lik_all_subs.12.1,-64.8826778
log_lik_all_subs.13.1,-48.45873545
log_lik_all_subs.14.1,-41.695220325
log_lik_all_subs.15.1,-32.498954075
log_lik_all_subs.16.1,-45.573281675
log_lik_all_subs.17.1,-41.39909265
log_lik_all_subs.18.1,-45.541059249999996
log_lik_all_subs.19.1,-56.38117855
log_lik_all_subs.20.1,-52.566861274999994
log_lik_all_subs.21.1,-66.81563500000001
log_lik_all_subs.22.1,-56.919327525
log_lik_all_subs.23.1,-63.440319224999996
log_lik_all_subs.24.1,-57.441046625000006
log_lik_all_subs.25.1,-41.6676089
log_lik_all_subs.26.1,-31.71274405
log_lik_all_subs.27.1,-53.09811025
log_lik_all_subs.28.1,-48.876304000000005
log_lik_all_subs.29.1,-59.818058324999996
log_lik_all_subs.30.1,-52.216696524999996
log_lik_all_subs.31.1,0.0
log_lik_all_subs.32.1,-56.495557375000004
log_lik_all_subs.33.1,-55.993701625
log_lik_all_subs.34.1,-71.26486017500001
log_lik_all_subs.35.1,-59.94094589999999
log_lik_all_subs.36.1,-39.2518618
log_lik_all_subs.37.1,-49.8882557
log_lik_all_subs.38.1,-51.7878557
log_lik_all_subs.39.1,-69.091666975
log_lik_all_subs.40.1,-68.14714442500001
log_lik_all_subs.41.1,-69.70555672500001
log_lik_all_subs.42.1,-52.54318435
log_lik_all_subs.43.1,-52.026607825000006
log_lik_all_subs.44.1,-48.9099509
log_lik_all_subs.45.1,-43.467987074999996
log_lik_all_subs.46.1,-46.434526075
log_lik_all_subs.47.1,-54.043715649999996
log_lik_all_subs.48.1,-55.569489
log_lik_all_subs.49.1,-50.827635575
log_lik_all_subs.50.1,-55.13481720000001
log_lik_all_subs.51.1,-54.42077925
log_lik_all_subs.52.1,-44.7448205
log_lik_all_subs.53.1,-35.832947225
log_lik_all_subs.54.1,-74.80431220000001
log_lik_all_subs.55.1,-45.091738725000006
log_lik_all_subs.56.1,-30.928241325
log_lik_all_subs.57.1,-45.064941375
log_lik_all_subs.58.1,-50.351081900000004
log_lik_all_subs.59.1,-51.2113493
log_lik_all_subs.60.1,-66.29230150000001
log_lik_all_subs.61.1,-37.80422455
log_lik_all_subs.62.1,-41.33708779999999
log_lik_all_subs.63.1,-65.507525775
log_lik_all_subs.64.1,-59.928341124999996
log_lik_all_subs.65.1,-38.069118525
log_lik_all_subs.66.1,-37.3739433
log_lik_all_subs.67.1,-48.792892349999995
log_lik_all_subs.68.1,-56.36161452500001
log_lik_all_subs.69.1,-49.811592225
log_lik_all_subs.70.1,-61.940921124999996
log_lik_all_subs.71.1,-64.88541807499999
log_lik_all_subs.72.1,-51.036973125
log_lik_all_subs.73.1,-61.375808899999996
log_lik_all_subs.74.1,-54.657759774999995
log_lik_all_subs.75.1,-54.131326650000005
log_lik_all_subs.76.1,-51.923780550000004
log_lik_all_subs.77.1,-37.412139575
log_lik_all_subs.78.1,-65.11878375
log_lik_all_subs.79.1,-41.158035225
log_lik_all_subs.80.1,-63.78017555
log_lik_all_subs.81.1,-37.28164592500001
log_lik_all_subs.82.1,-57.674953349999996
log_lik_all_subs.83.1,-46.081478950000005
log_lik_all_subs.84.1,0.0
log_lik_all_subs.85.1,-58.449134725
log_lik_all_subs.86.1,0.0
log_lik_all_subs.87.1,-60.83952864999999
log_lik_all_subs.88.1,-44.59913715
log_lik_all_subs.89.1,-51.906665775
log_lik_all_subs.90.1,-63.066622575000004
log_lik_all_subs.1.2,-48.66563445
log_lik_all_subs.2.2,-25.119733225
log_lik_all_subs.3.2,-61.730518
log_lik_all_subs.4.2,-54.2323803
log_lik_all_subs.5.2,-51.154261524999995
log_lik_all_subs.6.2,-39.9547917
log_lik_all_subs.7.2,-48.8118901
log_lik_all_subs.8.2,-49.026270124999996
log_lik_all_subs.9.2,-53.255812525
log_lik_all_subs.10.2,-64.602427475
