,0
log_lik_all_subs.1.1,-94.302734875
log_lik_all_subs.2.1,-100.900321475
log_lik_all_subs.3.1,-139.5770915
log_lik_all_subs.4.1,-78.445412425
log_lik_all_subs.5.1,-76.0302466
log_lik_all_subs.6.1,-92.054653225
log_lik_all_subs.7.1,-129.11292975
log_lik_all_subs.8.1,-119.95040825000001
log_lik_all_subs.9.1,-132.30805575
log_lik_all_subs.10.1,-86.04240057499999
log_lik_all_subs.11.1,-144.214753
log_lik_all_subs.12.1,-176.1802025
log_lik_all_subs.13.1,-93.11950247499999
log_lik_all_subs.14.1,-110.9891085
log_lik_all_subs.15.1,-114.12887375
log_lik_all_subs.16.1,-117.36908025
log_lik_all_subs.17.1,-80.93361115000002
log_lik_all_subs.18.1,-107.4537285
log_lik_all_subs.19.1,-76.22305342499999
log_lik_all_subs.20.1,-102.86298925
log_lik_all_subs.21.1,-118.50968075
log_lik_all_subs.22.1,-121.5591525
log_lik_all_subs.23.1,-118.77770849999999
log_lik_all_subs.24.1,-120.71329850000001
log_lik_all_subs.25.1,-145.95979075
log_lik_all_subs.26.1,-161.1446305
log_lik_all_subs.27.1,-92.52784192499999
log_lik_all_subs.28.1,-76.87519982500001
log_lik_all_subs.29.1,-155.2706135
log_lik_all_subs.30.1,-79.6784983
log_lik_all_subs.31.1,-79.68114107500001
log_lik_all_subs.32.1,-81.322745725
log_lik_all_subs.33.1,-123.67531975
log_lik_all_subs.34.1,-160.8747645
log_lik_all_subs.35.1,-102.25749400000001
log_lik_all_subs.36.1,-89.77100365
log_lik_all_subs.37.1,-109.34261875000001
log_lik_all_subs.38.1,-93.4550807
log_lik_all_subs.39.1,-122.74724674999999
log_lik_all_subs.40.1,-71.47216039999999
log_lik_all_subs.41.1,-103.53844274999999
log_lik_all_subs.42.1,-91.38942925
log_lik_all_subs.43.1,-104.88849925
log_lik_all_subs.44.1,-157.69783950000001
log_lik_all_subs.45.1,-77.0229179
log_lik_all_subs.46.1,-124.88679
log_lik_all_subs.47.1,-107.13482825000001
log_lik_all_subs.48.1,-101.600868
log_lik_all_subs.49.1,-85.20487527499999
log_lik_all_subs.50.1,-114.545571
log_lik_all_subs.51.1,-88.02932075
log_lik_all_subs.52.1,-101.7492365
log_lik_all_subs.53.1,-91.15870545
log_lik_all_subs.54.1,-119.15562925
log_lik_all_subs.55.1,-123.66181900000001
log_lik_all_subs.56.1,-66.575087925
log_lik_all_subs.57.1,-99.41667185000001
log_lik_all_subs.58.1,-84.699454375
log_lik_all_subs.59.1,-78.496803
log_lik_all_subs.60.1,-114.8334625
log_lik_all_subs.61.1,-95.08067240000001
log_lik_all_subs.62.1,-79.59825852499999
log_lik_all_subs.63.1,-128.65167725
log_lik_all_subs.64.1,-116.70255875
log_lik_all_subs.65.1,-164.11130724999998
log_lik_all_subs.66.1,-73.60542065
log_lik_all_subs.67.1,-85.68887645
log_lik_all_subs.68.1,-141.65354324999998
log_lik_all_subs.69.1,-97.71754825
log_lik_all_subs.70.1,-101.55695525
log_lik_all_subs.71.1,-138.96280124999998
log_lik_all_subs.72.1,-87.42699785000002
log_lik_all_subs.73.1,-79.21794015
log_lik_all_subs.74.1,-103.3642125
log_lik_all_subs.75.1,-101.14779525
log_lik_all_subs.76.1,-115.59266025
log_lik_all_subs.77.1,-83.925300725
log_lik_all_subs.78.1,-138.55593399999998
log_lik_all_subs.79.1,-104.0546765
log_lik_all_subs.80.1,-87.532660825
log_lik_all_subs.81.1,-91.68787947499999
log_lik_all_subs.82.1,-97.596950075
log_lik_all_subs.83.1,-108.61069824999998
log_lik_all_subs.84.1,0.0
log_lik_all_subs.85.1,0.0
log_lik_all_subs.86.1,0.0
log_lik_all_subs.87.1,0.0
log_lik_all_subs.88.1,0.0
log_lik_all_subs.89.1,-95.473705525
log_lik_all_subs.90.1,-112.82237775
log_lik_all_subs.1.2,-73.982372325
log_lik_all_subs.2.2,-137.33488699999998
log_lik_all_subs.3.2,-161.07448950000003
log_lik_all_subs.4.2,-58.929513925
log_lik_all_subs.5.2,-79.66766402500001
log_lik_all_subs.6.2,-90.653239875
log_lik_all_subs.7.2,-105.10079025
log_lik_all_subs.8.2,-130.92918550000002
log_lik_all_subs.9.2,0.0
log_lik_all_subs.10.2,-115.1725955
log_lik_all_subs.11.2,-140.98912475000003
log_lik_all_subs.12.2,-194.06500375000002
log_lik_all_subs.13.2,-106.38348074999999
log_lik_all_subs.14.2,-108.84744099999999
log_lik_all_subs.15.2,-101.32865375
