,0
log_lik_all_subs.1.1,-98.6114257
log_lik_all_subs.2.1,-98.520295025
log_lik_all_subs.3.1,-99.48685164999999
log_lik_all_subs.4.1,-76.020142325
log_lik_all_subs.5.1,-95.527675975
log_lik_all_subs.6.1,-91.163606025
log_lik_all_subs.7.1,-88.394012275
log_lik_all_subs.8.1,-110.43501775
log_lik_all_subs.9.1,-89.25579855000001
log_lik_all_subs.10.1,-83.52763432500001
log_lik_all_subs.11.1,-105.71386749999999
log_lik_all_subs.12.1,-128.74299349999998
log_lik_all_subs.13.1,-88.85734055
log_lik_all_subs.14.1,-99.43548145000001
log_lik_all_subs.15.1,-111.40303700000001
log_lik_all_subs.16.1,-105.58935399999999
log_lik_all_subs.17.1,-100.284898425
log_lik_all_subs.18.1,-97.77424905
log_lik_all_subs.19.1,-96.815036475
log_lik_all_subs.20.1,-75.38454819999998
log_lik_all_subs.21.1,-82.3689986
log_lik_all_subs.22.1,-81.781108525
log_lik_all_subs.23.1,-120.82397825
log_lik_all_subs.24.1,-88.70552437500001
log_lik_all_subs.25.1,-116.64700675
log_lik_all_subs.26.1,-109.38892999999999
log_lik_all_subs.27.1,-87.79372185
log_lik_all_subs.28.1,-104.21824175
log_lik_all_subs.29.1,-102.98061324999999
log_lik_all_subs.30.1,-90.1738873
log_lik_all_subs.31.1,-89.23948425
log_lik_all_subs.32.1,-116.40758475000001
log_lik_all_subs.33.1,-113.71278
log_lik_all_subs.34.1,-100.6468442
log_lik_all_subs.35.1,-88.95505675
log_lik_all_subs.36.1,-87.0536759
log_lik_all_subs.37.1,-127.99411975000001
log_lik_all_subs.38.1,-83.382599925
log_lik_all_subs.39.1,-110.6461725
log_lik_all_subs.40.1,-132.74443125
log_lik_all_subs.41.1,-114.4365105
log_lik_all_subs.42.1,-69.594338525
log_lik_all_subs.43.1,-69.278297025
log_lik_all_subs.44.1,-95.026131275
log_lik_all_subs.45.1,-102.11469064999999
log_lik_all_subs.46.1,-93.689691575
log_lik_all_subs.47.1,-95.391511175
log_lik_all_subs.48.1,-98.05496775000002
log_lik_all_subs.49.1,-95.887111025
log_lik_all_subs.50.1,-100.96369235
log_lik_all_subs.51.1,-72.67129545
log_lik_all_subs.52.1,-92.42061070000001
log_lik_all_subs.53.1,-102.9624385
log_lik_all_subs.54.1,-120.474685
log_lik_all_subs.55.1,-102.28395024999999
log_lik_all_subs.56.1,-82.558913
log_lik_all_subs.57.1,-102.98929075000001
log_lik_all_subs.58.1,-83.625343125
log_lik_all_subs.59.1,-75.693423875
log_lik_all_subs.60.1,-107.91097
log_lik_all_subs.61.1,-101.8230138
log_lik_all_subs.62.1,-76.3391408
log_lik_all_subs.63.1,-84.88294099999999
log_lik_all_subs.64.1,-115.29347575
log_lik_all_subs.65.1,-71.64071925
log_lik_all_subs.66.1,-84.67735524999999
log_lik_all_subs.67.1,-80.48423035
log_lik_all_subs.68.1,-93.53025345
log_lik_all_subs.69.1,-105.44915150000001
log_lik_all_subs.70.1,-91.8501004
log_lik_all_subs.71.1,-98.13882004999999
log_lik_all_subs.72.1,-94.75709345
log_lik_all_subs.73.1,-80.88646527499999
log_lik_all_subs.74.1,-119.2601195
log_lik_all_subs.75.1,-109.1777295
log_lik_all_subs.76.1,-108.74511899999999
log_lik_all_subs.77.1,-96.0846128
log_lik_all_subs.78.1,-84.3252684
log_lik_all_subs.79.1,-90.3368789
log_lik_all_subs.80.1,-70.31992865000001
log_lik_all_subs.81.1,-102.589038
log_lik_all_subs.82.1,-79.44904679999999
log_lik_all_subs.83.1,-98.66091845
log_lik_all_subs.84.1,0.0
log_lik_all_subs.85.1,-110.39197274999998
log_lik_all_subs.86.1,-114.58299000000001
log_lik_all_subs.87.1,-90.26676929999998
log_lik_all_subs.88.1,-82.37202205
log_lik_all_subs.89.1,-99.50037730000001
log_lik_all_subs.90.1,0.0
log_lik_all_subs.1.2,-84.980796
log_lik_all_subs.2.2,-96.0494807
log_lik_all_subs.3.2,-106.1374115
log_lik_all_subs.4.2,-80.43346025000001
log_lik_all_subs.5.2,-107.79083975
log_lik_all_subs.6.2,-63.18829145
log_lik_all_subs.7.2,-100.42613885
log_lik_all_subs.8.2,-97.69320405
log_lik_all_subs.9.2,-93.72319080000001
log_lik_all_subs.10.2,-65.77999650000001
log_lik_all_subs.11.2,0.0
log_lik_all_subs.12.2,-132.10660475
log_lik_all_subs.13.2,-76.812974025
log_lik_all_subs.14.2,-83.28511447500001
log_lik_all_subs.15.2,-109.843435
log_lik_all_subs.16.2,-113.68533525000001
