,0
log_lik_all_subs.1.1,-112.3834235
log_lik_all_subs.2.1,-88.78004915000001
log_lik_all_subs.3.1,-60.972762349999996
log_lik_all_subs.4.1,-85.745881875
log_lik_all_subs.5.1,-38.83834727499999
log_lik_all_subs.6.1,-124.14989075
log_lik_all_subs.7.1,-68.81567357499999
log_lik_all_subs.8.1,-44.217964099999996
log_lik_all_subs.9.1,-119.73373199999999
log_lik_all_subs.10.1,-99.48640535
log_lik_all_subs.11.1,-107.46714624999998
log_lik_all_subs.12.1,-45.47695795
log_lik_all_subs.13.1,-98.7243363
log_lik_all_subs.14.1,-117.52315850000001
log_lik_all_subs.15.1,-80.32055702499999
log_lik_all_subs.16.1,-57.999474625000005
log_lik_all_subs.17.1,-118.967667
log_lik_all_subs.18.1,-114.955695
log_lik_all_subs.19.1,-115.05810875
log_lik_all_subs.20.1,-51.171988750000004
log_lik_all_subs.21.1,-81.30668884999999
log_lik_all_subs.22.1,-105.063024
log_lik_all_subs.23.1,-72.95413584999999
log_lik_all_subs.24.1,-93.420247825
log_lik_all_subs.25.1,-66.9842038
log_lik_all_subs.26.1,-104.1557045
log_lik_all_subs.27.1,-76.4205406
log_lik_all_subs.28.1,-23.309985225000002
log_lik_all_subs.29.1,-127.663353
log_lik_all_subs.30.1,-98.7094915
log_lik_all_subs.31.1,-70.370200675
log_lik_all_subs.32.1,-83.74296987500001
log_lik_all_subs.33.1,-86.43683100000001
log_lik_all_subs.34.1,-102.26574674999999
log_lik_all_subs.35.1,-98.128498825
log_lik_all_subs.36.1,-98.9732726
log_lik_all_subs.37.1,-110.32386125000001
log_lik_all_subs.38.1,-87.11094715
log_lik_all_subs.39.1,-101.746530825
log_lik_all_subs.40.1,-127.559934
log_lik_all_subs.41.1,0.0
log_lik_all_subs.42.1,-114.74393325
log_lik_all_subs.43.1,-36.930147775
log_lik_all_subs.44.1,-66.67256359999999
log_lik_all_subs.45.1,-72.13414655000001
log_lik_all_subs.46.1,-109.983691
log_lik_all_subs.47.1,-85.37181375
log_lik_all_subs.48.1,-106.135216
log_lik_all_subs.49.1,-84.8995491
log_lik_all_subs.50.1,-100.40057065
log_lik_all_subs.51.1,-29.207182824999997
log_lik_all_subs.52.1,-88.585748525
log_lik_all_subs.53.1,-65.91657457500001
log_lik_all_subs.54.1,-138.098283
log_lik_all_subs.55.1,-86.33449195
log_lik_all_subs.56.1,-91.91749530000001
log_lik_all_subs.57.1,-148.73985224999998
log_lik_all_subs.58.1,-77.24015195
log_lik_all_subs.59.1,-77.149413
log_lik_all_subs.60.1,-99.28957622499999
log_lik_all_subs.61.1,-74.469378075
log_lik_all_subs.62.1,-110.95261775
log_lik_all_subs.63.1,0.0
log_lik_all_subs.64.1,-86.02559297500001
log_lik_all_subs.65.1,-114.8284375
log_lik_all_subs.66.1,-95.186777375
log_lik_all_subs.1.2,-67.511594675
log_lik_all_subs.2.2,-76.73675535000001
log_lik_all_subs.3.2,-49.117659525
log_lik_all_subs.4.2,-18.968820200000003
log_lik_all_subs.5.2,-102.202742375
log_lik_all_subs.6.2,-139.36052775000002
log_lik_all_subs.7.2,-87.96395602499999
log_lik_all_subs.8.2,-43.96477779999999
log_lik_all_subs.9.2,-91.1249448
log_lik_all_subs.10.2,-48.098867825
log_lik_all_subs.11.2,-89.664808075
log_lik_all_subs.12.2,-48.224031499999995
log_lik_all_subs.13.2,-67.73950690000001
log_lik_all_subs.14.2,-132.13216574999998
log_lik_all_subs.15.2,-85.351025125
log_lik_all_subs.16.2,-57.686058900000006
log_lik_all_subs.17.2,-92.57116617499999
log_lik_all_subs.18.2,-65.2073277
log_lik_all_subs.19.2,-108.92348274999999
log_lik_all_subs.20.2,-81.2285212
log_lik_all_subs.21.2,-35.427810775000005
log_lik_all_subs.22.2,-124.31962299999999
log_lik_all_subs.23.2,-77.0434544
log_lik_all_subs.24.2,-127.31431025
log_lik_all_subs.25.2,-57.306302825
log_lik_all_subs.26.2,-99.29832697500001
log_lik_all_subs.27.2,-107.10224424999998
log_lik_all_subs.28.2,-72.26882520000001
log_lik_all_subs.29.2,-64.879945425
log_lik_all_subs.30.2,-64.42596725
log_lik_all_subs.31.2,-56.068973375
