,0
log_lik_all_subs.1.1,-57.328714675
log_lik_all_subs.2.1,-27.934632850000003
log_lik_all_subs.3.1,-60.04240117500001
log_lik_all_subs.4.1,-50.529816974999996
log_lik_all_subs.5.1,-38.5142166
log_lik_all_subs.6.1,-54.943466725
log_lik_all_subs.7.1,-41.7841936
log_lik_all_subs.8.1,-72.134762475
log_lik_all_subs.9.1,-49.200248175
log_lik_all_subs.10.1,-54.67794839999999
log_lik_all_subs.11.1,-54.652419375
log_lik_all_subs.12.1,-66.191719625
log_lik_all_subs.13.1,-65.65412065
log_lik_all_subs.14.1,-41.162302225
log_lik_all_subs.15.1,-32.9968209
log_lik_all_subs.16.1,-55.984975775
log_lik_all_subs.17.1,-44.45677995
log_lik_all_subs.18.1,-56.349633225
log_lik_all_subs.19.1,-41.534041925
log_lik_all_subs.20.1,-52.540143150000006
log_lik_all_subs.21.1,-60.402831549999995
log_lik_all_subs.22.1,-51.4544716
log_lik_all_subs.23.1,-73.42403114999999
log_lik_all_subs.24.1,-71.02384692499999
log_lik_all_subs.25.1,-45.445948275
log_lik_all_subs.26.1,-35.687015075000005
log_lik_all_subs.27.1,-43.2560851
log_lik_all_subs.28.1,-52.85390745
log_lik_all_subs.29.1,-66.74669455
log_lik_all_subs.30.1,-70.88239937499999
log_lik_all_subs.31.1,0.0
log_lik_all_subs.32.1,-55.821513475
log_lik_all_subs.33.1,-60.845518150000004
log_lik_all_subs.34.1,-76.5820349
log_lik_all_subs.35.1,-46.154200474999996
log_lik_all_subs.36.1,-42.4362662
log_lik_all_subs.37.1,-67.03030745
log_lik_all_subs.38.1,-42.648991525
log_lik_all_subs.39.1,-58.711725775
log_lik_all_subs.40.1,-66.54230695
log_lik_all_subs.41.1,-71.07283715000001
log_lik_all_subs.42.1,-41.966162974999996
log_lik_all_subs.43.1,-48.48497635
log_lik_all_subs.44.1,-60.611814575
log_lik_all_subs.45.1,-26.58343505
log_lik_all_subs.46.1,-46.2561178
log_lik_all_subs.47.1,-59.241463024999995
log_lik_all_subs.48.1,-47.19429265
log_lik_all_subs.49.1,-55.96263105
log_lik_all_subs.50.1,-59.783965675
log_lik_all_subs.51.1,-53.761577374999995
log_lik_all_subs.52.1,-42.31315105
log_lik_all_subs.53.1,-51.834592975
log_lik_all_subs.54.1,-69.03479610000001
log_lik_all_subs.55.1,-45.942794299999996
log_lik_all_subs.56.1,-39.069587
log_lik_all_subs.57.1,-54.402966074999995
log_lik_all_subs.58.1,-39.350846225
log_lik_all_subs.59.1,-58.2070892
log_lik_all_subs.60.1,-71.593474375
log_lik_all_subs.61.1,-46.61357025
log_lik_all_subs.62.1,-26.830376100000002
log_lik_all_subs.63.1,-68.467605175
