,0
log_lik_all_subs.1.1,-195.90678994748689
log_lik_all_subs.2.1,-163.6469342335584
log_lik_all_subs.3.1,-251.95320130032508
log_lik_all_subs.4.1,-221.71513053263317
log_lik_all_subs.5.1,-126.03745661415354
log_lik_all_subs.6.1,-169.46847586896726
log_lik_all_subs.7.1,-193.79793598399598
log_lik_all_subs.8.1,-231.54127606901727
log_lik_all_subs.9.1,-203.01233058264566
log_lik_all_subs.10.1,-211.6730335083771
log_lik_all_subs.11.1,-247.18736534133532
log_lik_all_subs.12.1,-28.196629657414352
log_lik_all_subs.13.1,-194.59939009752435
log_lik_all_subs.14.1,-252.36648312078023
log_lik_all_subs.15.1,-142.58690172543135
log_lik_all_subs.16.1,-252.45405751437858
log_lik_all_subs.17.1,-213.61715478869718
log_lik_all_subs.18.1,-199.32074318579646
log_lik_all_subs.19.1,-224.3719902475619
log_lik_all_subs.20.1,-213.4751952988247
log_lik_all_subs.21.1,-169.38308927231807
log_lik_all_subs.22.1,-158.89917079269816
log_lik_all_subs.23.1,-264.4695056264066
log_lik_all_subs.24.1,-232.68592923230807
log_lik_all_subs.25.1,-180.54447611902975
log_lik_all_subs.26.1,-262.8780067516879
log_lik_all_subs.27.1,-214.8529712428107
log_lik_all_subs.28.1,-231.84137359339834
log_lik_all_subs.29.1,-261.0605273818455
log_lik_all_subs.30.1,-175.41783745936485
log_lik_all_subs.31.1,-204.57082520630158
log_lik_all_subs.32.1,-183.18367316829205
log_lik_all_subs.33.1,-181.967016504126
log_lik_all_subs.34.1,-219.40609427356836
log_lik_all_subs.35.1,-154.58756589147285
log_lik_all_subs.36.1,-215.7265101275319
log_lik_all_subs.37.1,-253.0000450112528
log_lik_all_subs.38.1,-170.14256614153538
log_lik_all_subs.39.1,-242.45798649662416
log_lik_all_subs.40.1,-186.4737791947987
log_lik_all_subs.41.1,-226.22949037259318
log_lik_all_subs.42.1,-153.5188687171793
log_lik_all_subs.43.1,-188.85049512378097
log_lik_all_subs.44.1,-264.9962645661415
log_lik_all_subs.45.1,-189.60761165291325
log_lik_all_subs.46.1,-253.38466616654162
log_lik_all_subs.47.1,-204.40614953738435
log_lik_all_subs.48.1,-202.6670957739435
log_lik_all_subs.49.1,-233.2964701175294
log_lik_all_subs.50.1,-218.4954096024006
log_lik_all_subs.51.1,-179.65607401850463
log_lik_all_subs.52.1,-168.07521330332585
log_lik_all_subs.53.1,-215.58811702925732
log_lik_all_subs.54.1,-229.61580520130036
log_lik_all_subs.55.1,-271.03446211552887
log_lik_all_subs.56.1,-134.81499699924984
log_lik_all_subs.57.1,-191.2764336084021
log_lik_all_subs.58.1,-227.72016129032258
log_lik_all_subs.59.1,-248.26595173793447
log_lik_all_subs.60.1,-257.485184296074
log_lik_all_subs.61.1,-238.6064303575894
log_lik_all_subs.62.1,-244.76256364091023
log_lik_all_subs.63.1,-259.04205826456615
log_lik_all_subs.64.1,-196.01652563140786
log_lik_all_subs.65.1,-200.53132858214553
log_lik_all_subs.66.1,-200.53178469617407
log_lik_all_subs.67.1,-222.91876094023505
log_lik_all_subs.68.1,-280.9763523380845
log_lik_all_subs.69.1,-204.1622515628907
log_lik_all_subs.70.1,-253.19602725681418
log_lik_all_subs.71.1,-240.28537009252312
log_lik_all_subs.72.1,-209.696224056014
log_lik_all_subs.73.1,-225.93754963740935
log_lik_all_subs.74.1,-200.11933683420853
log_lik_all_subs.75.1,-229.73097524381097
log_lik_all_subs.76.1,-184.25516604151036
log_lik_all_subs.77.1,-174.90892398099524
log_lik_all_subs.78.1,-273.1922123030758
log_lik_all_subs.79.1,-177.7834541135284
log_lik_all_subs.80.1,-177.29934758689672
log_lik_all_subs.81.1,-233.044416104026
log_lik_all_subs.82.1,-185.62059789947486
log_lik_all_subs.83.1,-200.67434133533382
log_lik_all_subs.84.1,-190.30481520380096
log_lik_all_subs.85.1,-246.69427506876718
log_lik_all_subs.86.1,-234.55150512628157
log_lik_all_subs.87.1,-155.02920555138786
log_lik_all_subs.88.1,-224.61146261565392
log_lik_all_subs.89.1,-143.39643435858966
log_lik_all_subs.90.1,-181.44375868967242
log_lik_all_subs.1.2,-164.82682820705176
log_lik_all_subs.2.2,-61.59266554138535
log_lik_all_subs.3.2,-216.95658514628659
log_lik_all_subs.4.2,-201.9948799699925
log_lik_all_subs.5.2,-159.77949987496874
log_lik_all_subs.6.2,-220.3113760940235
log_lik_all_subs.7.2,-203.45196999249814
log_lik_all_subs.8.2,-161.85668342085523
log_lik_all_subs.9.2,-177.3856461615404
log_lik_all_subs.10.2,-169.70173568392096
log_lik_all_subs.11.2,-274.6705576394099
log_lik_all_subs.12.2,-79.89111850462615
log_lik_all_subs.13.2,-126.11606151537885
log_lik_all_subs.14.2,-209.30867766941736
log_lik_all_subs.15.2,-128.38771292823205
log_lik_all_subs.16.2,-183.1124066016504
log_lik_all_subs.17.2,-192.55686921730432
log_lik_all_subs.18.2,-175.88641410352588
log_lik_all_subs.19.2,-204.71377644411103
log_lik_all_subs.20.2,-228.76427456864218
log_lik_all_subs.21.2,-248.00759039759942
log_lik_all_subs.22.2,-173.6466894223556
log_lik_all_subs.23.2,-228.25272693173295
log_lik_all_subs.24.2,-258.2625783945986
log_lik_all_subs.25.2,-150.39089272318077
log_lik_all_subs.26.2,-168.26080995248813
log_lik_all_subs.27.2,-214.82369492373093
log_lik_all_subs.28.2,0.0
log_lik_all_subs.29.2,0.0
log_lik_all_subs.30.2,-214.751448112028
log_lik_all_subs.31.2,-229.1067326831708
log_lik_all_subs.32.2,-197.00016254063516
log_lik_all_subs.33.2,-178.85407326831708
log_lik_all_subs.34.2,-191.78036984246063
log_lik_all_subs.35.2,-167.93991597899472
log_lik_all_subs.36.2,-211.85997124281067
log_lik_all_subs.37.2,-243.82566516629157
log_lik_all_subs.38.2,-189.10203200800203
log_lik_all_subs.39.2,-212.25316129032257
log_lik_all_subs.40.2,-181.1177531882971
log_lik_all_subs.41.2,-233.2561937984496
log_lik_all_subs.42.2,-160.00661015253814
log_lik_all_subs.43.2,-132.0516604151038
log_lik_all_subs.44.2,-273.4263203300825
log_lik_all_subs.45.2,-228.64558839709926
log_lik_all_subs.46.2,-195.3738954738685
log_lik_all_subs.47.2,-251.30394973743435
log_lik_all_subs.48.2,-178.63969642410603
log_lik_all_subs.49.2,-233.6588972243061
log_lik_all_subs.50.2,-216.81527706926732
log_lik_all_subs.51.2,-196.90415978994747
log_lik_all_subs.52.2,-185.88996124031007
log_lik_all_subs.53.2,-180.27616204051012
log_lik_all_subs.54.2,-217.04775943985993
log_lik_all_subs.55.2,-241.69553613403352
log_lik_all_subs.56.2,-142.29995948987246
log_lik_all_subs.57.2,-165.50322055513877
log_lik_all_subs.58.2,0.0
log_lik_all_subs.59.2,-276.281128032008
log_lik_all_subs.60.2,-224.3715548887222
log_lik_all_subs.61.2,-185.53823455863966
log_lik_all_subs.62.2,-178.10277494373594
log_lik_all_subs.63.2,-238.86078044511126
log_lik_all_subs.64.2,-256.23227631907974
log_lik_all_subs.65.2,-191.87080220055014
log_lik_all_subs.66.2,-203.56276044011005
log_lik_all_subs.67.2,-226.50997674418608
