,0
log_lik_all_subs.1.1,-95.533840075
log_lik_all_subs.2.1,-133.33379525
log_lik_all_subs.3.1,-160.63870550000001
log_lik_all_subs.4.1,-87.568045
log_lik_all_subs.5.1,-79.285284925
log_lik_all_subs.6.1,-84.6873258
log_lik_all_subs.7.1,-107.26100875
log_lik_all_subs.8.1,-144.40551625
log_lik_all_subs.9.1,-125.15981349999998
log_lik_all_subs.10.1,-96.455809475
log_lik_all_subs.11.1,-156.3923715
log_lik_all_subs.12.1,-182.994277
log_lik_all_subs.13.1,-86.6562942
log_lik_all_subs.14.1,-92.2159695
log_lik_all_subs.15.1,-125.81036424999999
log_lik_all_subs.16.1,-111.29230075
log_lik_all_subs.17.1,-79.59626574999999
log_lik_all_subs.18.1,-97.058226475
log_lik_all_subs.19.1,-88.72348539999999
log_lik_all_subs.20.1,-126.097787
log_lik_all_subs.21.1,-111.16264100000001
log_lik_all_subs.22.1,-126.19028349999999
log_lik_all_subs.23.1,-116.47096225
log_lik_all_subs.24.1,-105.59015400000001
log_lik_all_subs.25.1,-149.82881375
log_lik_all_subs.26.1,-141.851544
log_lik_all_subs.27.1,-74.7367593
log_lik_all_subs.28.1,-82.13680392499998
log_lik_all_subs.29.1,-138.74840775
log_lik_all_subs.30.1,-90.384555225
log_lik_all_subs.31.1,-79.305684325
log_lik_all_subs.32.1,-73.419450575
log_lik_all_subs.33.1,-103.93548475
log_lik_all_subs.34.1,-151.6103095
log_lik_all_subs.35.1,-117.86668075
log_lik_all_subs.36.1,-108.6433845
log_lik_all_subs.37.1,-130.6226005
log_lik_all_subs.38.1,-95.314437125
log_lik_all_subs.39.1,-145.60674875
log_lik_all_subs.40.1,-39.509510875
log_lik_all_subs.41.1,-85.7113909
log_lik_all_subs.42.1,-78.38022327499999
log_lik_all_subs.43.1,-118.20633074999999
log_lik_all_subs.44.1,-158.8405945
log_lik_all_subs.45.1,-71.182888025
log_lik_all_subs.46.1,-117.15694225000001
log_lik_all_subs.47.1,-122.13558775
log_lik_all_subs.48.1,-91.40360247499999
log_lik_all_subs.49.1,-75.394357025
log_lik_all_subs.50.1,-126.80510449999998
log_lik_all_subs.51.1,-103.43777275000001
log_lik_all_subs.52.1,-80.46843565
log_lik_all_subs.53.1,-105.25627949999999
log_lik_all_subs.54.1,-136.51559275000002
log_lik_all_subs.55.1,-145.11079450000003
log_lik_all_subs.56.1,-83.23908189999999
log_lik_all_subs.57.1,-112.43630474999999
log_lik_all_subs.58.1,-84.90938977500002
log_lik_all_subs.59.1,-67.0576249
log_lik_all_subs.60.1,-114.32547
log_lik_all_subs.61.1,-113.92216400000001
log_lik_all_subs.62.1,-95.944537925
log_lik_all_subs.63.1,-140.76897975
log_lik_all_subs.64.1,-98.304112975
log_lik_all_subs.65.1,-152.43634724999998
log_lik_all_subs.66.1,-83.0212512
log_lik_all_subs.67.1,-90.3594143
log_lik_all_subs.68.1,-146.51839525
log_lik_all_subs.69.1,-97.16119520000001
log_lik_all_subs.70.1,-105.410254
log_lik_all_subs.71.1,-127.470193
log_lik_all_subs.72.1,-80.638196925
log_lik_all_subs.73.1,-91.64039462499998
log_lik_all_subs.74.1,-105.79922049999999
log_lik_all_subs.75.1,-100.920721825
log_lik_all_subs.76.1,-136.5850255
log_lik_all_subs.77.1,-92.4496372
log_lik_all_subs.78.1,-155.19729074999998
log_lik_all_subs.79.1,-92.338846875
log_lik_all_subs.80.1,-77.47063867499999
log_lik_all_subs.81.1,-104.72670075
log_lik_all_subs.82.1,-81.18986364999999
log_lik_all_subs.83.1,-113.886135
log_lik_all_subs.84.1,0.0
log_lik_all_subs.85.1,0.0
log_lik_all_subs.86.1,0.0
log_lik_all_subs.87.1,0.0
log_lik_all_subs.88.1,0.0
log_lik_all_subs.89.1,-94.93669775
log_lik_all_subs.90.1,-117.92557475
log_lik_all_subs.1.2,-95.147243425
log_lik_all_subs.2.2,-95.092070275
log_lik_all_subs.3.2,-129.8168765
log_lik_all_subs.4.2,-78.330716725
log_lik_all_subs.5.2,-84.149322075
log_lik_all_subs.6.2,-65.446589575
log_lik_all_subs.7.2,-97.4037817
log_lik_all_subs.8.2,-124.00434424999999
log_lik_all_subs.9.2,0.0
log_lik_all_subs.10.2,-123.55652025
log_lik_all_subs.11.2,-144.11330725000002
log_lik_all_subs.12.2,-148.50290224999998
log_lik_all_subs.13.2,-94.84753654999999
log_lik_all_subs.14.2,-90.54828
log_lik_all_subs.15.2,-94.28872714999999
log_lik_all_subs.16.2,-97.4503821
log_lik_all_subs.17.2,0.0
log_lik_all_subs.18.2,-109.14658600000001
log_lik_all_subs.19.2,-72.7433171
log_lik_all_subs.20.2,-77.71519305
log_lik_all_subs.21.2,-85.78752275000001
log_lik_all_subs.22.2,-82.14998097500002
log_lik_all_subs.23.2,-109.16187425
log_lik_all_subs.24.2,-58.494958975
log_lik_all_subs.25.2,-95.64883719999999
log_lik_all_subs.26.2,-119.973406
log_lik_all_subs.27.2,-64.99960102499999
