,Unnamed: 0,Unnamed: 0.1,trial_index,weekId,subjectId,expId,rt,small_amount,large_amount,later_delay,choice,date
0,0,5,5,1,bkvnluqzwjwe,itc,7860.0,24.0,25.0,104.0,0,07/13/2020
1,1,7,7,1,bkvnluqzwjwe,itc,6868.0,13.0,30.0,218.0,0,07/13/2020
2,2,9,9,1,bkvnluqzwjwe,itc,3492.0,40.0,80.0,10.0,1,07/13/2020
3,3,11,11,1,bkvnluqzwjwe,itc,3114.0,77.0,80.0,39.0,0,07/13/2020
4,4,13,13,1,bkvnluqzwjwe,itc,1904.0,24.0,25.0,260.0,0,07/13/2020
5,5,15,15,1,bkvnluqzwjwe,itc,5732.0,10.0,35.0,61.0,1,07/13/2020
6,6,17,17,1,bkvnluqzwjwe,itc,1753.0,20.0,85.0,13.0,1,07/13/2020
7,7,19,19,1,bkvnluqzwjwe,itc,2408.0,14.0,35.0,15.0,1,07/13/2020
8,8,21,21,1,bkvnluqzwjwe,itc,5365.0,39.0,50.0,47.0,1,07/13/2020
9,9,23,23,1,bkvnluqzwjwe,itc,2120.0,54.0,85.0,14.0,1,07/13/2020
10,10,25,25,1,bkvnluqzwjwe,itc,4468.0,10.0,60.0,122.0,1,07/13/2020
11,11,27,27,1,bkvnluqzwjwe,itc,2748.0,5.0,25.0,16.0,1,07/13/2020
12,12,29,29,1,bkvnluqzwjwe,itc,3447.0,32.0,75.0,84.0,1,07/13/2020
13,13,31,31,1,bkvnluqzwjwe,itc,3097.0,82.0,85.0,229.0,0,07/13/2020
14,14,33,33,1,bkvnluqzwjwe,itc,1757.0,72.0,75.0,104.0,0,07/13/2020
15,15,35,35,1,bkvnluqzwjwe,itc,2550.0,27.0,30.0,111.0,0,07/13/2020
16,16,37,37,1,bkvnluqzwjwe,itc,5976.0,11.0,30.0,108.0,1,07/13/2020
17,17,39,39,1,bkvnluqzwjwe,itc,7056.0,28.0,35.0,100.0,0,07/13/2020
18,18,41,41,1,bkvnluqzwjwe,itc,3009.0,20.0,60.0,125.0,1,07/13/2020
19,19,43,43,1,bkvnluqzwjwe,itc,1752.0,52.0,55.0,144.0,0,07/13/2020
20,20,45,45,1,bkvnluqzwjwe,itc,2734.0,50.0,80.0,100.0,1,07/13/2020
21,21,47,47,1,bkvnluqzwjwe,itc,2056.0,25.0,50.0,10.0,1,07/13/2020
22,22,49,49,1,bkvnluqzwjwe,itc,2931.0,49.0,50.0,127.0,0,07/13/2020
23,23,51,51,1,bkvnluqzwjwe,itc,3853.0,50.0,55.0,100.0,0,07/13/2020
24,24,53,53,1,bkvnluqzwjwe,itc,9798.0,50.0,60.0,80.0,1,07/13/2020
25,25,55,55,1,bkvnluqzwjwe,itc,4774.0,60.0,75.0,100.0,1,07/13/2020
26,26,57,57,1,bkvnluqzwjwe,itc,1505.0,20.0,55.0,7.0,1,07/13/2020
27,2835,5,5,2,bkvnluqzwjwe,itc,8776.0,5.0,25.0,16.0,1,07/13/2020
28,2836,7,7,2,bkvnluqzwjwe,itc,4732.0,32.0,35.0,234.0,0,07/13/2020
29,2837,9,9,2,bkvnluqzwjwe,itc,3566.0,25.0,55.0,75.0,1,07/13/2020
30,2838,11,11,2,bkvnluqzwjwe,itc,4844.0,53.0,60.0,22.0,1,07/13/2020
31,2839,13,13,2,bkvnluqzwjwe,itc,1994.0,15.0,30.0,10.0,1,07/13/2020
32,2840,15,15,2,bkvnluqzwjwe,itc,3978.0,33.0,80.0,89.0,1,07/13/2020
33,2841,17,17,2,bkvnluqzwjwe,itc,3693.0,25.0,35.0,25.0,1,07/13/2020
34,2842,19,19,2,bkvnluqzwjwe,itc,3413.0,27.0,30.0,111.0,0,07/13/2020
35,2844,23,23,2,bkvnluqzwjwe,itc,8537.0,50.0,55.0,100.0,0,07/13/2020
36,2845,25,25,2,bkvnluqzwjwe,itc,3085.0,10.0,35.0,61.0,1,07/13/2020
37,2846,27,27,2,bkvnluqzwjwe,itc,3658.0,25.0,55.0,12.0,1,07/13/2020
38,2847,29,29,2,bkvnluqzwjwe,itc,2271.0,40.0,80.0,10.0,1,07/13/2020
39,2849,33,33,2,bkvnluqzwjwe,itc,7825.0,25.0,30.0,80.0,0,07/13/2020
40,2851,37,37,2,bkvnluqzwjwe,itc,2626.0,54.0,85.0,14.0,1,07/13/2020
41,2852,39,39,2,bkvnluqzwjwe,itc,2953.0,20.0,60.0,8.0,1,07/13/2020
42,2853,41,41,2,bkvnluqzwjwe,itc,6948.0,72.0,75.0,104.0,0,07/13/2020
43,2854,43,43,2,bkvnluqzwjwe,itc,5201.0,73.0,75.0,171.0,0,07/13/2020
