,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,trial_index,weekId,subjectId,expId,rt,block,top_p,low_p,hi_narr,lo_narr,hi_wide,lo_wide,ticket1_EV,ticket2_EV,difference,choice,EV_chosen,correct,correct_choice,date
0,0,61,7,7,1,bkvnluqzwjwe,lt,4198,block_1,10,90,2.6,2.08,5,0.13,131.2,37.95,93.25,1,more,TRUE,ticket1,7/13/2020
1,1,62,9,9,1,bkvnluqzwjwe,lt,2736,block_1,20,80,2.2,1.76,4.23,0.11,159.6,80.7,78.9,1,more,TRUE,ticket1,7/13/2020
2,2,63,11,11,1,bkvnluqzwjwe,lt,3337,block_1,70,30,2.6,2.08,5,0.13,197.4,285.95,-88.55,1,less,FALSE,ticket2,7/13/2020
3,3,64,13,13,1,bkvnluqzwjwe,lt,2483,block_1,90,10,2.2,1.76,4.23,0.11,235.2,416.55,-181.35,1,less,FALSE,ticket2,7/13/2020
4,4,65,15,15,1,bkvnluqzwjwe,lt,2998,block_1,30,70,2,1.6,3.85,0.1,172,122.35,49.65,1,more,TRUE,ticket1,7/13/2020
5,5,66,17,17,1,bkvnluqzwjwe,lt,2631,block_1,60,40,1.4,1.12,2.69,0.07,193.2,246.6,-53.4,1,less,FALSE,ticket2,7/13/2020
6,6,67,19,19,1,bkvnluqzwjwe,lt,3318,block_1,50,50,2.2,1.76,4.23,0.11,198,217,-19,1,less,FALSE,ticket2,7/13/2020
7,7,68,21,21,1,bkvnluqzwjwe,lt,4300,block_1,80,20,2.8,2.24,5.38,0.14,182.4,294.3,-111.9,1,less,FALSE,ticket2,7/13/2020
8,8,69,23,23,1,bkvnluqzwjwe,lt,7123,block_1,100,0,2.2,1.76,4.23,0.11,170,327,-157,0,more,TRUE,ticket2,7/13/2020
9,9,70,26,26,1,bkvnluqzwjwe,lt,5549,block_2,100,0,55,44,105.75,2.75,170,327,-157,0,more,TRUE,ticket2,7/13/2020
10,10,71,28,28,1,bkvnluqzwjwe,lt,5800,block_2,30,70,65,52,125,3.25,172,122.35,49.65,1,more,TRUE,ticket1,7/13/2020
11,11,72,30,30,1,bkvnluqzwjwe,lt,2557,block_2,20,80,60,48,115.5,3,159.6,80.7,78.9,1,more,TRUE,ticket1,7/13/2020
12,12,73,32,32,1,bkvnluqzwjwe,lt,2309,block_2,80,20,60,48,115.5,3,182.4,294.3,-111.9,1,less,FALSE,ticket2,7/13/2020
13,13,74,34,34,1,bkvnluqzwjwe,lt,2308,block_2,40,60,75,60,144.25,3.75,176,159.8,16.2,1,more,TRUE,ticket1,7/13/2020
14,14,75,36,36,1,bkvnluqzwjwe,lt,1945,block_2,60,40,60,48,115.5,3,193.2,246.6,-53.4,1,less,FALSE,ticket2,7/13/2020
15,15,76,38,38,1,bkvnluqzwjwe,lt,4414,block_2,90,10,60,48,115.5,3,235.2,416.55,-181.35,1,less,FALSE,ticket2,7/13/2020
16,16,77,40,40,1,bkvnluqzwjwe,lt,2067,block_2,50,50,65,52,125,3.25,198,217,-19,1,less,FALSE,ticket2,7/13/2020
17,17,78,42,42,1,bkvnluqzwjwe,lt,1822,block_2,70,30,70,56,134.5,3.5,197.4,285.95,-88.55,1,less,FALSE,ticket2,7/13/2020
18,18,79,44,44,1,bkvnluqzwjwe,lt,2266,block_2,10,90,60,48,115.5,3,131.2,37.95,93.25,1,more,TRUE,ticket1,7/13/2020
19,19,80,47,47,1,bkvnluqzwjwe,lt,5023,block_3,20,80,190,152,365.5,9.5,159.6,80.7,78.9,1,more,TRUE,ticket1,7/13/2020
20,20,81,49,49,1,bkvnluqzwjwe,lt,6050,block_3,30,70,200,160,384.5,10,172,122.35,49.65,1,more,TRUE,ticket1,7/13/2020
21,21,82,51,51,1,bkvnluqzwjwe,lt,1826,block_3,60,40,210,168,404,10.5,193.2,246.6,-53.4,1,less,FALSE,ticket2,7/13/2020
22,22,83,53,53,1,bkvnluqzwjwe,lt,2162,block_3,80,20,190,152,365.5,9.5,182.4,294.3,-111.9,1,less,FALSE,ticket2,7/13/2020
23,23,84,55,55,1,bkvnluqzwjwe,lt,2659,block_3,10,90,160,128,307.5,8,131.2,37.95,93.25,1,more,TRUE,ticket1,7/13/2020
24,24,85,57,57,1,bkvnluqzwjwe,lt,2543,block_3,70,30,210,168,404,10.5,197.4,285.95,-88.55,1,less,FALSE,ticket2,7/13/2020
25,25,86,59,59,1,bkvnluqzwjwe,lt,4523,block_3,100,0,170,136,327,8.5,170,327,-157,0,more,TRUE,ticket2,7/13/2020
26,26,87,61,61,1,bkvnluqzwjwe,lt,2281,block_3,40,60,200,160,384.5,10,176,159.8,16.2,1,more,TRUE,ticket1,7/13/2020
27,27,88,63,63,1,bkvnluqzwjwe,lt,3449,block_3,90,10,240,192,461.5,12,235.2,416.55,-181.35,1,less,FALSE,ticket2,7/13/2020
28,28,89,65,65,1,bkvnluqzwjwe,lt,3727,block_3,50,50,220,176,423,11,198,217,-19,1,less,FALSE,ticket2,7/13/2020
29,29,3331,7,7,2,bkvnluqzwjwe,lt,2939,block_1,90,10,2,1.6,3.85,0.1,186.2,329.9,-143.7,1,less,FALSE,ticket2,7/13/2020
30,30,3332,9,9,2,bkvnluqzwjwe,lt,2978,block_1,80,20,2,1.6,3.85,0.1,211.2,340.6,-129.4,1,less,FALSE,ticket2,7/13/2020
31,31,3333,11,11,2,bkvnluqzwjwe,lt,4045,block_1,60,40,1.6,1.28,3.08,0.08,165.6,211.2,-45.6,1,less,FALSE,ticket2,7/13/2020
32,32,3334,13,13,2,bkvnluqzwjwe,lt,3718,block_1,20,80,1.8,1.44,3.46,0.09,151.2,76.4,74.8,1,more,TRUE,ticket1,7/13/2020
33,33,3335,15,15,2,bkvnluqzwjwe,lt,1832,block_1,100,0,2.8,2.24,5.38,0.14,220,423,-203,1,less,FALSE,ticket2,7/13/2020
34,34,3336,17,17,2,bkvnluqzwjwe,lt,3240,block_1,10,90,2.4,1.92,4.62,0.12,155.8,45.1,110.7,1,more,TRUE,ticket1,7/13/2020
35,35,3337,19,19,2,bkvnluqzwjwe,lt,5468,block_1,30,70,2.8,2.24,5.38,0.14,163.4,116.3,47.1,1,more,TRUE,ticket1,7/13/2020
36,36,3338,21,21,2,bkvnluqzwjwe,lt,2155,block_1,40,60,2.6,2.08,5,0.13,149.6,135.9,13.7,1,more,TRUE,ticket1,7/13/2020
37,37,3339,23,23,2,bkvnluqzwjwe,lt,3955,block_1,70,30,2.4,1.92,4.62,0.12,141,204.2,-63.2,1,less,FALSE,ticket2,7/13/2020
38,38,3340,26,26,2,bkvnluqzwjwe,lt,8635,block_2,50,50,70,56,134.5,3.5,189,207.25,-18.25,1,less,FALSE,ticket2,7/13/2020
39,39,3341,28,28,2,bkvnluqzwjwe,lt,9795,block_2,100,0,60,48,115.5,3,220,423,-203,0,more,TRUE,ticket2,7/13/2020
40,40,3342,30,30,2,bkvnluqzwjwe,lt,2823,block_2,60,40,55,44,105.75,2.75,165.6,211.2,-45.6,1,less,FALSE,ticket2,7/13/2020
41,41,3343,32,32,2,bkvnluqzwjwe,lt,2373,block_2,80,20,60,48,115.5,3,211.2,340.6,-129.4,1,less,FALSE,ticket2,7/13/2020
42,42,3344,34,34,2,bkvnluqzwjwe,lt,3442,block_2,90,10,75,60,144.25,3.75,186.2,329.9,-143.7,1,less,FALSE,ticket2,7/13/2020
43,43,3345,36,36,2,bkvnluqzwjwe,lt,2035,block_2,70,30,65,52,125,3.25,141,204.2,-63.2,1,less,FALSE,ticket2,7/13/2020
44,44,3346,38,38,2,bkvnluqzwjwe,lt,2467,block_2,40,60,65,52,125,3.25,149.6,135.9,13.7,1,more,TRUE,ticket1,7/13/2020
45,45,3347,40,40,2,bkvnluqzwjwe,lt,3429,block_2,10,90,60,48,115.5,3,155.8,45.1,110.7,1,more,TRUE,ticket1,7/13/2020
46,46,3348,42,42,2,bkvnluqzwjwe,lt,4325,block_2,20,80,65,52,125,3.25,151.2,76.4,74.8,1,more,TRUE,ticket1,7/13/2020
47,47,3349,44,44,2,bkvnluqzwjwe,lt,2108,block_2,30,70,75,60,144.25,3.75,163.4,116.3,47.1,1,more,TRUE,ticket1,7/13/2020
48,48,3350,47,47,2,bkvnluqzwjwe,lt,5538,block_3,90,10,190,152,365.5,9.5,186.2,329.9,-143.7,1,less,FALSE,ticket2,7/13/2020
49,49,3351,49,49,2,bkvnluqzwjwe,lt,2137,block_3,50,50,210,168,404,10.5,189,207.25,-18.25,1,less,FALSE,ticket2,7/13/2020
50,50,3353,53,53,2,bkvnluqzwjwe,lt,4356,block_3,80,20,220,176,423,11,211.2,340.6,-129.4,1,less,FALSE,ticket2,7/13/2020
51,51,3354,55,55,2,bkvnluqzwjwe,lt,9379,block_3,40,60,170,136,327,8.5,149.6,135.9,13.7,1,more,TRUE,ticket1,7/13/2020
52,52,3355,57,57,2,bkvnluqzwjwe,lt,2155,block_3,60,40,180,144,346,9,165.6,211.2,-45.6,1,less,FALSE,ticket2,7/13/2020
53,53,3356,59,59,2,bkvnluqzwjwe,lt,2691,block_3,30,70,190,152,365.5,9.5,163.4,116.3,47.1,1,more,TRUE,ticket1,7/13/2020
54,54,3357,61,61,2,bkvnluqzwjwe,lt,3596,block_3,20,80,180,144,346,9,151.2,76.4,74.8,1,more,TRUE,ticket1,7/13/2020
55,55,3358,63,63,2,bkvnluqzwjwe,lt,1711,block_3,70,30,150,120,288.5,7.5,141,204.2,-63.2,1,less,FALSE,ticket2,7/13/2020
56,56,3359,65,65,2,bkvnluqzwjwe,lt,3296,block_3,10,90,190,152,365.5,9.5,155.8,45.1,110.7,1,more,TRUE,ticket1,7/13/2020
57,57,6301,7,7,3,bkvnluqzwjwe,lt,2980,block_1,40,60,2.2,1.76,4.23,0.11,167.2,151.9,15.3,1,more,TRUE,ticket1,7/13/2020
58,58,6302,9,9,3,bkvnluqzwjwe,lt,2810,block_1,10,90,2,1.6,3.85,0.1,180.4,52.2,128.2,1,more,TRUE,ticket1,7/13/2020
59,59,6303,11,11,3,bkvnluqzwjwe,lt,5986,block_1,60,40,2,1.6,3.85,0.1,193.2,246.6,-53.4,1,less,FALSE,ticket2,7/13/2020
60,60,6304,13,13,3,bkvnluqzwjwe,lt,3019,block_1,50,50,2.4,1.92,4.62,0.12,153,167.75,-14.75,1,less,FALSE,ticket2,7/13/2020
61,61,6305,15,15,3,bkvnluqzwjwe,lt,2776,block_1,20,80,1.4,1.12,2.69,0.07,159.6,80.7,78.9,1,more,TRUE,ticket1,7/13/2020
62,62,6307,19,19,3,bkvnluqzwjwe,lt,6425,block_1,70,30,1.6,1.28,3.08,0.08,169.2,244.9,-75.7,1,less,FALSE,ticket2,7/13/2020
63,63,6308,21,21,3,bkvnluqzwjwe,lt,6528,block_1,30,70,2.6,2.08,5,0.13,180.6,128.55,52.05,1,more,TRUE,ticket1,7/13/2020
64,64,6309,23,23,3,bkvnluqzwjwe,lt,8455,block_1,90,10,2.6,2.08,5,0.13,176.4,312.3,-135.9,1,less,FALSE,ticket2,7/13/2020
65,65,6310,26,26,3,bkvnluqzwjwe,lt,7395,block_2,60,40,60,48,115.5,3,193.2,246.6,-53.4,1,less,FALSE,ticket2,7/13/2020
66,66,6311,28,28,3,bkvnluqzwjwe,lt,8881,block_2,30,70,60,48,115.5,3,180.6,128.55,52.05,1,more,TRUE,ticket1,7/13/2020
67,67,6312,30,30,3,bkvnluqzwjwe,lt,2748,block_2,10,90,70,56,134.5,3.5,180.4,52.2,128.2,1,more,TRUE,ticket1,7/13/2020
68,68,6313,32,32,3,bkvnluqzwjwe,lt,2824,block_2,40,60,70,56,134.5,3.5,167.2,151.9,15.3,1,more,TRUE,ticket1,7/13/2020
69,69,6314,34,34,3,bkvnluqzwjwe,lt,2616,block_2,50,50,55,44,105.75,2.75,153,167.75,-14.75,1,less,FALSE,ticket2,7/13/2020
70,70,6315,36,36,3,bkvnluqzwjwe,lt,2578,block_2,70,30,50,40,96.25,2.5,169.2,244.9,-75.7,1,less,FALSE,ticket2,7/13/2020
71,71,6316,38,38,3,bkvnluqzwjwe,lt,2292,block_2,90,10,65,52,125,3.25,176.4,312.3,-135.9,1,less,FALSE,ticket2,7/13/2020
72,72,6317,40,40,3,bkvnluqzwjwe,lt,4727,block_2,80,20,60,48,115.5,3,182.4,294.3,-111.9,1,less,FALSE,ticket2,7/13/2020
